?cls	?replCls	?consCls
<http://www.ebi.ac.uk/efo/EFO_0004762>	"http://purl.obolibrary.org/obo/OBA_2050131"	
<http://www.ebi.ac.uk/efo/EFO_0004764>	"http://purl.obolibrary.org/obo/OBA_VT0005452"	
<http://www.ebi.ac.uk/efo/EFO_0004765>	"http://purl.obolibrary.org/obo/OBA_2045224"	
<http://www.ebi.ac.uk/efo/EFO_0004766>	"http://purl.obolibrary.org/obo/OBA_1000023"	
<http://www.ebi.ac.uk/efo/EFO_0004782>	"http://purl.obolibrary.org/obo/OBA_VT0010442"	
<http://www.ebi.ac.uk/efo/EFO_0004791>	"http://purl.obolibrary.org/obo/OBA_2050207"	
<http://www.ebi.ac.uk/efo/EFO_0004818>	"http://purl.obolibrary.org/obo/OBA_1000978"	
<http://www.ebi.ac.uk/efo/EFO_0004829>	"OBA:2040128"	
<http://www.ebi.ac.uk/efo/EFO_0004832>	"http://purl.obolibrary.org/obo/OBA_VT0006216"	
<http://www.ebi.ac.uk/efo/EFO_0004844>	"http://purl.obolibrary.org/obo/OBA_2050103"	
<http://www.ebi.ac.uk/efo/EFO_0004860>	"http://purl.obolibrary.org/obo/OBA_2050108"	
<http://www.ebi.ac.uk/efo/EFO_0004865>	"http://purl.obolibrary.org/obo/OBA_1000027"	
<http://www.ebi.ac.uk/efo/EFO_0004870>	"http://purl.obolibrary.org/obo/OBA_2040170"	
<http://www.ebi.ac.uk/efo/EFO_0004884>	"http://purl.obolibrary.org/obo/OBA_1000025"	
<http://www.ebi.ac.uk/efo/EFO_0004912>	"http://purl.obolibrary.org/obo/OBA_2050074"	
<http://www.ebi.ac.uk/efo/EFO_0004913>	"http://purl.obolibrary.org/obo/OBA_2050053"	
<http://www.ebi.ac.uk/efo/EFO_0004985>	"http://purl.obolibrary.org/obo/OBA_2045287"	
<http://www.ebi.ac.uk/efo/EFO_0004993>	"http://purl.obolibrary.org/obo/OBA_2050070"	
<http://www.ebi.ac.uk/efo/EFO_0005002>	"http://purl.obolibrary.org/obo/OBA_2020005"	
<http://www.ebi.ac.uk/efo/EFO_0005036>	"http://purl.obolibrary.org/obo/OBA_VT0003179"	
<http://www.ebi.ac.uk/efo/EFO_0005037>	"http://purl.obolibrary.org/obo/OBA_0005483"	
<http://www.ebi.ac.uk/efo/EFO_0005047>	"http://purl.obolibrary.org/obo/OBA_2045276"	
<http://www.ebi.ac.uk/efo/EFO_0005053>	"http://purl.obolibrary.org/obo/OBA_2050107"	
<http://www.ebi.ac.uk/efo/EFO_0005055>	"http://purl.obolibrary.org/obo/OBA_1001086"	
<http://www.ebi.ac.uk/efo/EFO_0005093>	"http://purl.obolibrary.org/obo/OBA_1000032"	
<http://www.ebi.ac.uk/efo/EFO_0005114>	"http://purl.obolibrary.org/obo/OBA_VT0000047"	
<http://www.ebi.ac.uk/efo/EFO_0005139>	"http://purl.obolibrary.org/obo/OBA_2050073"	
<http://www.ebi.ac.uk/efo/EFO_0005192>	"http://www.ebi.ac.uk/efo/EFO_0009188"	
<http://www.ebi.ac.uk/efo/EFO_0005200>	"http://purl.obolibrary.org/obo/OBA_VT0002460"	
<http://www.ebi.ac.uk/efo/EFO_0005201>	"http://purl.obolibrary.org/obo/OBA_2045231"	
<http://www.ebi.ac.uk/efo/EFO_0005202>	"OBA:2040093"	
<http://www.ebi.ac.uk/efo/EFO_0005205>	"OBA:2040114"	
<http://www.ebi.ac.uk/efo/EFO_0005208>	"http://purl.obolibrary.org/obo/OBA_0003747"	
<http://www.ebi.ac.uk/efo/EFO_0005210>	"http://purl.obolibrary.org/obo/OBA_2045295"	
<http://www.ebi.ac.uk/efo/EFO_0005247>	"http://purl.obolibrary.org/obo/OBA_2045296"	
<http://www.ebi.ac.uk/efo/EFO_0005266>	"http://purl.obolibrary.org/obo/OBA_2050059"	
<http://www.ebi.ac.uk/efo/EFO_0005268>	"http://purl.obolibrary.org/obo/OBA_2050076"	
<http://www.ebi.ac.uk/efo/EFO_0005271>	"http://purl.obolibrary.org/obo/OBA_2040171"	
<http://www.ebi.ac.uk/efo/EFO_0005272>	"http://purl.obolibrary.org/obo/OBA_2040170"	
<http://www.ebi.ac.uk/efo/EFO_0005273>	"http://purl.obolibrary.org/obo/OBA_1000905"	
<http://www.ebi.ac.uk/efo/EFO_0005274>	"http://purl.obolibrary.org/obo/OBA_2040173"	
<http://www.ebi.ac.uk/efo/EFO_0005280>	"http://purl.obolibrary.org/obo/OBA_2040172"	
