?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/OBA_2080812>	"The amount of a large ribosomal subunit protein bL32m (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/OBA_2059208>	"The amount of a late cornified envelope protein 3B (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/UBERON_0001007>	"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes."	"BILA:0000082 MIAA:0000018 MAT:0000018 AAO:0000129 Wikipedia:Digestive_system galen:DigestiveSystem MESH:D004064 SCTID:278859004 ncithesaurus:Digestive_System MA:0002431 EFO:0000793 TAO:0000339 XAO:0000125 GAID:278 CALOHA:TS-1293 FMA:7152 TADS:0000170 FBbt:00005055 ZFA:0000339 WBbt:0005748 BTO:0000058"
<http://purl.obolibrary.org/obo/MONDO_0008118>	"Odontoma-dysphagia syndrome is a malformation syndrome, characterized by odontomas (undifferentiated mass of the esophagus) and severe dysphagia."	"UMLS:C1834013 MESH:C537740 Orphanet:2724 MEDGEN:320249 OMIM:164330 GARD:0000238 SCTID:716180009"
<http://www.ebi.ac.uk/efo/EFO_1000927>	"Infections with bacteria of the genus ERYSIPELOTHRIX."	"MESH:D004889 DOID:2470"
<http://www.ebi.ac.uk/efo/EFO_0005690>		
<http://purl.obolibrary.org/obo/PR_000060060>	"A protein that is a translation product of the human C22orf23 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/PR_Q8N912>	"A nutritionally-regulated adipose and cardiac enriched protein homolog that is encoded in the genome of human."	"UniProtKB:Q8N912"
<http://purl.obolibrary.org/obo/PR_O60783>	"A small ribosomal subunit protein uS14m that is encoded in the genome of human."	"Reactome:R-HSA-5368192 UniProtKB:O60783"
<http://www.ebi.ac.uk/efo/EFO_0020076>	"A measurement of the amount of blood in a urine sample."	
<http://www.orpha.net/ORDO/Orphanet_96061>		
<http://purl.obolibrary.org/obo/HP_0025193>	"A posterolateral defect in the diaphragm, commonly referred to as a Bochdalek hernia, which is often accompanied by herniation of the stomach, intestines, liver, and/or spleen into the chest cavity."	
<http://purl.obolibrary.org/obo/MONDO_0019860>	"Thyroid hemiagenesis is a form of thyroid dysgenesis characterized by an absence of half of the thyroid gland that is usually asymptomatic but may result in primary congenital hypothyroidism, a permanent thyroid deficiency that is present from birth."	"MEDGEN:868785 icd11.foundation:872920513 GARD:0016844 UMLS:C4023190 Orphanet:95719 SCTID:715734006"
<http://purl.obolibrary.org/obo/OBA_2057792>	"The amount of a ETS translocation variant 5 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/OBA_2041582>	"The amount of a FH1/FH2 domain-containing protein 1 when measured in blood serum."	
<http://purl.obolibrary.org/obo/HP_0006913>	"Atrophy of the frontal cortex."	"UMLS:C4024965"
<http://www.ebi.ac.uk/efo/EFO_0021138>	"Quantification of the amount of gamma-glutamylglutamine in a sample."	"PMID:24816252"
<http://www.ebi.ac.uk/efo/EFO_0003294>		"DSSTox_Generic_SID:42688 CASRN:72270-41-8"
<http://purl.obolibrary.org/obo/CLO_0014896>	"HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 50 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 100 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 24"	
<http://purl.obolibrary.org/obo/OBA_2045094>	"The amount of a PC(18:0_20:4) when measured in blood serum."	
<http://purl.obolibrary.org/obo/OBA_2059833>	"The amount of a IQ domain-containing protein F1 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/MONDO_0005324>	"Allergic rhinitis caused by outdoor allergens."	"NCIT:C92188 MESH:D006255 SCTID:367498001 UMLS:C0018621 EFO:0003956 MEDGEN:42335"
