?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MONDO_0015993>	"Inherited retinal dystrophies that belong to the group of pigmentary retinopathies."	"GARD:0010790 UMLS:C4085590 Orphanet:1872 MEDGEN:896366 MESH:D000071700 DOID:0050572 NANDO:1200937 OMIMPS:120970"
<http://www.orpha.net/ORDO/Orphanet_79369>		"OMIM:607523"
<http://purl.obolibrary.org/obo/OBA_2056387>	"The amount of a serine/threonine-protein kinase 16 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11766>	"A protein coding gene TGFB1 in human."	
<http://purl.obolibrary.org/obo/OBA_2044233>	"The amount of a C-type lectin domain family 9 member A when measured in blood serum."	
<http://www.ebi.ac.uk/efo/EFO_0003296>		"DSSTox_CID:37158 CASRN:207137-56-2"
<http://www.orpha.net/ORDO/Orphanet_322126>		"UMLS:CN205528 Orphanet:68347"
<http://purl.obolibrary.org/obo/PO_0007043>	"This term is used only for seed plants. The actual point of emergence from the seed coat (PO:0009088) may not be observed if the seed (PO:0009010) is underneath a growth medium. In a fruit (PO:0009001) with a persistent pericarp (PO:0009084), emergence from the seed coat may not be observed. A seedling development stage (PO:0007131) during which the hypocotyl (PO:0020100) emerges from the seed coat (PO:0009088)."	
<http://purl.obolibrary.org/obo/PR_Q96P16>	"A regulation of nuclear pre-mRNA domain-containing protein 1A that is encoded in the genome of human."	"UniProtKB:Q96P16"
<http://www.ebi.ac.uk/efo/EFO_0005671>	"the quantification of some smoking or smoking-related behaviour, usually self-reported via a questionnaire"	
<http://purl.obolibrary.org/obo/PR_000021561>	"A testican-2 that has had the signal peptide removed."	
<http://purl.obolibrary.org/obo/PR_P02008>	"A hemoglobin subunit zeta that is encoded in the genome of human."	"UniProtKB:P02008"
<http://purl.obolibrary.org/obo/OBA_2100195>	"The amount of a insulin-like growth factor 2 when measured in blood."	
<http://www.ebi.ac.uk/efo/EFO_1000191>	"A diffuse large B-cell lymphoma that arises from the colon or rectum."	"UMLS:C3272827 EFO:1000191 NCIT:C96503"
<http://www.ebi.ac.uk/efo/EFO_0022571>	"Human medulloblastoma cell line"	"RRID:CVCL_1624"
<http://purl.obolibrary.org/obo/OBA_2042520>	"The amount of a neurocalcin-delta when measured in blood serum."	
<http://purl.obolibrary.org/obo/PR_000029695>	"A protein that is a translation product of the human PRRT2 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/MONDO_0008648>	"An instance of ventricular tachycardia that is caused by an inherited modification of the individual's genome."	"GARD:0002263 UMLS:C0340485 MEDGEN:83309 SCTID:233906007 OMIM:192605"
<http://www.ebi.ac.uk/efo/EFO_0020544>	"The determination of the amount of lymphotoxin-alpha in a sample"	"uniprot:P01374 PMID:28240269"
<http://purl.obolibrary.org/obo/PR_000000072>	"A TGF-beta-like cystine-knot cytokine that is the beta subunit of inhibin and activin complexes. Related to the transforming growth factor-beta, anti-Muellerian hormone, and bone morphogenic protein families which are all involved in the regulation of cell growth and differentiation."	"PIRSF:PIRSF037268"
<http://purl.obolibrary.org/obo/MONDO_0009039>	"Baller-Gerold syndrome is characterized by the association of coronal craniosynostosis with radial ray anomalies (oligodactyly, aplasia or hypoplasia of the thumb, aplasia or hypoplasia of the radius)."	"Orphanet:1225 DOID:0050654 SCTID:77608001 UMLS:C0265308 MESH:C536788 NANDO:1201059 NORD:834 MEDGEN:120532 GARD:0001602 OMIM:218600 icd11.foundation:1650688177"
<http://www.ebi.ac.uk/efo/EFO_1001351>	"Acute inflammation of one or more joints caused by the presence of pus within the joint cavity. [ NCI ]"	"MedDRA:10040057 NCIt:C118475 MedDRA:10021904 DOID:813 ICD10:M00 UMLS:C3891815 MESH:D001170"
<http://purl.obolibrary.org/obo/PR_Q9BXW6>	"An oxysterol-binding protein-related protein 1 that is encoded in the genome of human."	"UniProtKB:Q9BXW6 Reactome:R-HSA-2213214"
<http://purl.obolibrary.org/obo/PR_000011039>		
<http://www.ebi.ac.uk/efo/EFO_0003397>	"Multiply innervated sensillum, composed of an anterior and a posterior sensillum, located on the floor of the larval pharynx. It is innervated by 3 or 4 neurons whose axons join an anteriorly directed bundle that joins the labral nerve."	"FBbt:00002665"
<http://purl.obolibrary.org/obo/PR_000017328>	"A protein that is a translation product of the human VPS26B gene or a 1:1 ortholog thereof."	
<http://www.ebi.ac.uk/efo/EFO_0007067>	"Decubitus ulcer is a chronic ulcer of skin where the ulcer is an ulceration of tissue deprived of adequate blood supply by prolonged pressure."	"DOID:8717 MedDRA:10011985 ICD10:L89"
<http://www.orpha.net/ORDO/Orphanet_255117>		
<http://www.orpha.net/ORDO/Orphanet_231120>		"Orphanet:231120 ICD10:Q87.3 UMLS:CN201471"
<http://www.ebi.ac.uk/efo/EFO_0001731>		"MO:778"
<http://purl.obolibrary.org/obo/OBA_2059244>	"The amount of a armadillo repeat-containing protein 3 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/PR_Q7Z3B1>	"A neuronal growth regulator 1 that is encoded in the genome of human."	"UniProtKB:Q7Z3B1"
<http://www.orpha.net/ORDO/Orphanet_370997>		
<http://www.ebi.ac.uk/efo/EFO_0022467>	"Inbred Strain."	"MGI:2160001 TGEMO:00042"
<http://purl.obolibrary.org/obo/MONDO_0006241>	"A granuloma located in the liver."	"EFO:1000291 SCTID:714253009 ICD9:572.8 UMLS:C0745754 MEDGEN:155428"
<http://www.ebi.ac.uk/efo/EFO_1001233>	"Variant Creutzfeldt-Jakob disease (vCJD) is a rare and fatal human neurodegenerative condition, most commonly contracted after consuming meat from an animal suffering from bovine spongiform encephalopathy. vCJD is classified as a Transmissible Spongiform Encephalopathy (TSE) because of its ability to be transmitted and the characteristic spongy degeneration of the brain that it causes. It was first described in the United Kingdom in March 1996 and has been linked with exposure to a TSE of cattle called Bovine Spongiform Encephalopathy (BSE), also known as Classical BSE1, which was first reported in the United Kingdom in 1986."	"SNOMEDCT:304603007 NCIt:C26802 MESH:D016643 MedDRA:10064199"
<http://purl.obolibrary.org/obo/AfPO_0000161>	"A Mande Western population with a population size of 6.8 millions"	
<http://purl.obolibrary.org/obo/OBA_2056053>	"The amount of a serine/threonine-protein kinase DCLK1 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/PR_P07202>	"A thyroid peroxidase that is encoded in the genome of human."	"UniProtKB:P07202"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=573>	"A protein coding gene AP4E1 in human."	
<http://purl.obolibrary.org/obo/PR_Q6P1N0>		
<http://purl.obolibrary.org/obo/MONDO_0007723>	"An inherited susceptibility or predisposition to developing Hirschsprung disease in which the cause of the disease is a mutation in the RET gene."	"UMLS:C3888239 MEDGEN:854827 OMIM:142623"
<http://purl.obolibrary.org/obo/PR_000046470>	"A cholinesterase (human) that has had the signal peptide removed. UniProtKB:P06276, 29-602."	"Reactome:R-HSA-3640835 Reactome:R-HSA-434469"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=15495>	"A protein coding gene LILRA6 in human."	
<http://www.ebi.ac.uk/efo/EFO_0000110>	"The cord of nervous tissue that extends from the brain lengthwise along the back in the vertebral canal, gives off the pairs of spinal nerves, carries impulses to and from the brain, and serves as a center for initiating and coordinating many reflex acts."	"ZFA:0000075 SAEL:100 BTO:0001279 MFO:0002860 EMAPA:17577 EHDAA:2863 MA:0000216 EV:0100316 XAO:0000020 MAT:0000183 FMA:7647 TAO:0000075"
<http://www.ebi.ac.uk/efo/EFO_1000115>	"A non-metastasizing neoplasm that arises from the ovary and is characterized by the presence of neoplastic epithelium that resembles the epithelium of the endocervix or gastrointestinal tract. It includes mucinous adenofibroma, mucinous cystadenofibroma, and mucinous cystadenoma."	"NCIt:C40039"
<http://purl.obolibrary.org/obo/NCBITaxon_1513>		"SNOMEDCT:30917009 MESH:D003017 NCIt:C86298"
<http://purl.obolibrary.org/obo/PR_000021584>	"A stanniocalcin-1 that has had the signal peptide removed."	
<http://purl.obolibrary.org/obo/OBA_2041254>	"The amount of a DNA damage-inducible transcript 3 protein when measured in blood serum."	
<http://purl.obolibrary.org/obo/OBA_2059335>	"The amount of a ferredoxin-2, mitochondrial (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://www.ebi.ac.uk/efo/EFO_0022572>	"Human medulloblastoma cell line"	"RRID:CVCL_M137"
<http://purl.obolibrary.org/obo/NCBITaxon_29596>		
<http://www.ebi.ac.uk/efo/EFO_0003292>		"DSSTox_Generic_SID:40516 CASRN:102524-44-7"
<http://purl.obolibrary.org/obo/MONDO_0002423>	"A benign or malignant neoplasm that affects the rectosigmoid region. Representative examples of benign neoplasms include lipoma and leiomyoma. Representative examples of malignant neoplasms include carcinoma, lymphoma, and sarcoma. Rectosigmoid adenomas always exhibit epithelial dysplasia and are considered premalignant neoplasms."	"MEDGEN:87517 NCIT:C4877 UMLS:C0345873 SCTID:126848003 DOID:2780"
<http://purl.obolibrary.org/obo/CHEBI_28177>	"A dimethylxanthine having the two methyl groups located at positions 1 and 3. It is structurally similar to caffeine and is found in green and black tea."	"pubmed:19559058 pubmed:10921764 pubmed:15829161 pubmed:11170036 pubmed:22377744 pubmed:21796703 pubmed:17207928 drugbank:DB00277 pubmed:12531775 kegg.drug:D00371 pubmed:22771369 pubmed:15202575 pubmed:21467671 pubmed:17130682 pubmed:11408152 pubmed:15483348 pubmed:22981724 pubmed:11126990 pubmed:11949272 pubmed:11941393 metacyc.compound:CPD-12479 pubmed:12836095 reaxys:13463 pubmed:9256615 pubmed:22770225 pubmed:11950649 pubmed:19845735 hmdb:HMDB0001889 pubmed:22541679 pubmed:19888960 pubmed:14988770 pubmed:22541837 pubmed:16930490 pubmed:15317832 pubmed:11261527 pubmed:19727789 pubmed:22915350 drugcentral:2620 pubmed:15902964 pubmed:14517178 vsdb:1801 pdb-ccd:TEP kegg.compound:C07130 pubmed:22836872 pubmed:16651698 pubmed:7302609 pubmed:11826912 pubmed:8960878 pubmed:21834615 pubmed:15042504 cas:58-55-9 pubmed:10836323 pubmed:18800032 pubmed:15356646 pubmed:11848250 pubmed:7656958 pubmed:7389811 gmelin:51226 pubmed:22909172 pubmed:18307508 pubmed:10796631 pubmed:16083514 pubmed:15739418 knapsack:C00001510 pubmed:22702215 pubmed:15005370 pubmed:15908149 wikipedia.en:Theophylline pubmed:7767539 pubmed:8730732 pubmed:10893702 pubmed:14713563 pubmed:11200776"
<http://www.ebi.ac.uk/efo/EFO_0600054>	"Quantification of the amount of complement factor H-related protein 1 in a sample."	"PMID:34260947 uniprot:Q03591"
<http://purl.obolibrary.org/obo/CHEBI_15882>	"An organic hydroxy compound that consists of benzene bearing a single hydroxy substituent. The parent of the class of phenols."	"pubmed:20886261 cas:108-95-2 pubmed:21689881 pubmed:17852157 hmdb:HMDB0000228 pubmed:21809019 pubmed:16953321 pubmed:19029204 pubmed:12058733 pubmed:21492257 umbbd.compound:c0128 kegg.drug:D00033 kegg.compound:C00146 kegg.drug:D06536 knapsack:C00002664 drugcentral:4266 gmelin:2794 pubmed:21822930 wikipedia.en:Phenol reaxys:969616 drugbank:DB03255 kegg.compound:C15584 pdb-ccd:IPH"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=4554>	"A protein coding gene GPX2 in human."	
<http://purl.obolibrary.org/obo/MONDO_0017467>	"Tibio-fibular synostosis is a rare, non-syndromic limb malformation characterized by fusion of the proximal or distal tibial and fibular metaphysis and/or diaphysis, frequently associated with distal positioning of the proximal tibiofibular joint, leg length discrepancy, bowing of the fibula, and valgus deformity of the knee."	"icd11.foundation:1756900121 SCTID:737581000 UMLS:C4545230 GARD:0021208 MEDGEN:1616659 Orphanet:295028"
<http://purl.obolibrary.org/obo/CL_0000881>	"A border associated macrophage that is adjacent to a small blood vessel of a brain. A perivascular macrophage expresses the markers CD14, CD16 and CD163. In homeostatic conditions, this central nervous system macrophage has a non-motile cell body with extending and retracting projections through the blood vessel wall."	
<http://purl.obolibrary.org/obo/OBA_2052208>	"The amount of a multiple epidermal growth factor-like domains protein 10 (human) when measured in blood."	"PMID:38412862"
<http://www.orpha.net/ORDO/Orphanet_324525>		
<http://purl.obolibrary.org/obo/MONDO_0012626>	"Any Meckel syndrome in which the cause of the disease is a mutation in the CEP290 gene."	"GARD:0015509 DOID:0070118 OMIM:611134 MEDGEN:410003 UMLS:C1970161"
<http://purl.obolibrary.org/obo/OBA_2080287>	"The amount of a ubiquitin-conjugating enzyme E2 W (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://www.ebi.ac.uk/efo/EFO_0001730>		"MO:881"
<http://purl.obolibrary.org/obo/PR_000012067>	"A protein that is a translation product of the human OSTF1 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/OBA_2052121>	"The amount of a glutathione S-transferase A1 (human) when measured in blood."	"PMID:38412862"
<http://purl.obolibrary.org/obo/MONDO_0014160>	"A non-severe combined immunodeficiency disorder manifesting with recurrent respiratory infections, candidiasis, diarrhea, and failure to thrive. Patients show a clear predisposition to herpes viral infections, and features of immune dysregulation, including hypereosinophilia, vitiligo, and alopecia areata. Other features include lymphadenopathy and hepatosplenomegaly. CD3+ T-cells express TCR- gamma|delta, but little or no TCR-alpha|beta."	"UMLS:C3809332 Orphanet:397959 GARD:0017646 MEDGEN:815662 OMIM:615387 DOID:0111977"
<http://www.ebi.ac.uk/efo/EFO_0802421>	"Quantification of collagen alpha-3(VI) chain in a sample."	"uniprot:P12111 PMID:29875488"
<http://purl.obolibrary.org/obo/PR_000010546>	"A protein that is a translation product of the human PALS1 gene or a 1:1 ortholog thereof."	
<http://www.orpha.net/ORDO/Orphanet_96060>		
<http://purl.obolibrary.org/obo/PR_000027717>	"A protein that is a stand-alone version of the Ribonucleotide reductase, small chain (Pfam:PF00268) domain. This protein is the small subunit of the ribonucleotide reductase complex. The active subunit binds iron and contains an active site tyrosine radical."	"PIRSF:PIRSF000355"
<http://purl.obolibrary.org/obo/MONDO_0019342>	"A rare autosomal recessive inherited syndrome caused by mutations in the ATR gene, RBBP8 gene, CENPJ gene, CEP152 gene, CEP63 gene, NIN gene, DNA2 gene, or TRAIP gene. It is characterized by intrauterine growth retardation, dwarfism, microcephaly, mental retardation, and a \"bird-headed\" facial appearance."	"GARD:0008562 Orphanet:808 ICD9:759.89 NCIT:C125488 DOID:0050569 MEDGEN:78534 NORD:1701 SCTID:57917004 UMLS:C0265202 icd11.foundation:952199295 OMIMPS:210600"
<http://purl.obolibrary.org/obo/PR_000031896>	"A protein that is a translation product of the human RBBP9 gene or a 1:1 ortholog thereof."	"IUPHARobj:2874"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=6005>	"A protein coding gene IL21 in human."	
<http://purl.obolibrary.org/obo/PR_000016770>	"A protein that is a translation product of the human TSSK1B gene or a 1:1 ortholog thereof."	"IUPHARobj:2257"
<http://www.ebi.ac.uk/efo/EFO_1000418>	"A non-neoplastic disorder characterized by the growth of endometrial tissue in the ovaries. It results in the development of blood filled ovarian cysts (chocolate cysts), and creation of scars and adhesions."	"NCIt:C27628"
<http://www.ebi.ac.uk/efo/EFO_0010294>	"Quantification of the volume of the cingulate cortex."	"PMID:31530798"
<http://www.ebi.ac.uk/efo/EFO_0006775>	"human B-cell lymphoma cell line derived from the pleural effusion of a 41-year-old Caucasian man with B-cell non-Hodgkin lymphoma (DSMZ catalog number ACC 575)"	
<http://purl.obolibrary.org/obo/HP_0100023>	"A type of repetitive behavior in which the affected individual repeatedly waves the hands and/or arms rhythmically."	"UMLS:C4022387"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=5424>	"A protein coding gene IFNA21 in human."	
<http://purl.obolibrary.org/obo/CHEBI_68612>	"An EC 3.4.14.* (dipeptidyl- and tripeptidyl-peptidases) inhibitor that specifically inhibits dipeptidyl peptidase-4 (EC 3.4.14.5)."	"wikipedia.en:Dipeptidyl_peptidase-4_inhibitor"
<http://purl.obolibrary.org/obo/OBA_2050867>	"The amount of a Ras association domain-containing protein 2 when measured in blood."	"PMID:37794183"
<http://www.ebi.ac.uk/efo/EFO_0600020>	"Quantification of time to remission of COVID-19 symptoms."	"PMID:34035401"
<http://www.ebi.ac.uk/efo/EFO_0007821>	"quantification of some aspect of hair morphology such as hair density, colour, thickness or growth pattern"	"PMID:26926045"
<http://purl.obolibrary.org/obo/OBA_2041569>	"The amount of a farnesyl pyrophosphate synthase when measured in blood serum."	
<http://www.ebi.ac.uk/efo/EFO_0920130>	"A spatial molecular profiling assay that profiles RNA expression, protein abundance, and tissue morphology (via fluorescence H&E staining) at subcellular resolution directly from FFPE tissue sections."	
<http://purl.obolibrary.org/obo/PR_000007222>	"A protein that is a translation product of the human ETS2 gene or a 1:1 ortholog thereof."	
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=18585>	"A protein coding gene MSI2 in human."	
<http://www.ebi.ac.uk/efo/EFO_1001153>	"Hypertension due to RENAL ARTERY OBSTRUCTION or compression."	"NCIt:C85044 DOID:1591 SNOMEDCT:123799005 MESH:D006978 MedDRA:10038562"
<http://purl.obolibrary.org/obo/MONDO_0013006>	"An isolated growth hormone deficiency characterized by autosomal recessive inheritance of low but detectable levels of GH, short stature, significantly retarded bone age, and a positive response and immunologic tolerance to growth hormone therapy that has material basis in mutation in the GH1 or GHRHR genes on chromosomes 17q23.3 and 7p14.3, respectively."	"OMIM:612781 DOID:0060874 GARD:0003919 MEDGEN:411242 Orphanet:231671 MESH:C567564 UMLS:C2748571"
<http://purl.obolibrary.org/obo/OBA_2045182>	"The amount of a Sphingomyelin (d40:1) when measured in blood serum."	
<http://purl.obolibrary.org/obo/PR_000039980>	"A protein that is a standalone Copper/zinc superoxide dismutase (Pfam:PF00080) domain."	
<http://purl.obolibrary.org/obo/PR_000019162>	"A complement C1q subcomponent subunit C that has had the signal peptide removed."	
<http://purl.obolibrary.org/obo/MONDO_0018172>	"Malignant sex cord stromal tumor (SCST) of ovary is a rare ovarian cancer arising from granulosa, theca, sertoli and leydig cells or stromal fibroblasts, occurring at any age and presenting with abdominal or pelvic mass, and characterized (with the exception of fibroma) by the production of sex steroids resulting in manifestations of hormone excess, with a relatively favorable prognosis."	"MEDGEN:233667 UMLS:C1334609 GARD:0018816 NCIT:C8053 Orphanet:35808"
<http://www.ebi.ac.uk/efo/EFO_0022469>	"Inbred Strain."	"TGEMO:00106 MGI:2159784"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=25829>	"A protein coding gene ABRAXAS1 in human."	
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=23797>	"A protein coding gene QTRT1 in human."	
<http://www.ebi.ac.uk/efo/EFO_1000348>	"A pheochromocytoma that metastasizes to other anatomic sites. Common sites of metastasis include lymph nodes, bones, liver, and lung. Morphologic features associated with malignant pheochromocytomas include: atypical mitotic figures, capsular and vascular invasion, tumor cell necrosis, and high mitotic activity."	"DOID:0080347 UMLS:C0334419 SCTID:21851000119103 NCIT:C4220 EFO:1000348 ICDO:8700/3"
<http://purl.obolibrary.org/obo/OBA_2055305>	"A compound attribute that is the ratio of amount of Fc receptor-like protein 5 (human) in blood to amount of tumor necrosis factor receptor superfamily member 13B (human) in blood."	"PMID:38412862"
<http://purl.obolibrary.org/obo/PR_Q8TC92>	"An ecto-NOX disulfide-thiol exchanger 1 that is encoded in the genome of human."	"UniProtKB:Q8TC92"
<http://www.ebi.ac.uk/efo/EFO_0009483>	"A disease involving the breast."	"ICD10:N64 MONDO:0002657"
<http://purl.obolibrary.org/obo/MONDO_0032797>		"OMIM:618524 MEDGEN:1684886 DOID:0081348 GARD:0025748 UMLS:C5231401"
<http://purl.obolibrary.org/obo/PR_Q96LC7>	"A sialic acid-binding Ig-like lectin 10 that is encoded in the genome of human."	"UniProtKB:Q96LC7"
<http://purl.obolibrary.org/obo/HP_0001605>	"A loss of the ability to move the vocal folds."	"UMLS:C1854345 SNOMEDCT_US:302912005 UMLS:C0042928"
<http://purl.obolibrary.org/obo/MONDO_0006219>	"An aggressive, high-grade and poorly differentiated carcinoma with neuroendocrine differentiation that arises from the gallbladder. It is characterized by the presence of malignant small cells."	"GARD:0024335 EFO:1000266 MEDGEN:232229 NCIT:C6763 DOID:7133 UMLS:C1333759"
<http://purl.obolibrary.org/obo/PR_000048843>	"A DNA polymerase epsilon subunit 3 (human) that has had the initiator methionine removed. UniProtKB:Q9NRF9, 2-147."	"Reactome:R-HSA-8866685"
<http://purl.obolibrary.org/obo/OBA_2043306>	"The amount of a roundabout homolog 4 when measured in blood serum."	
<http://purl.obolibrary.org/obo/MONDO_0859149>		"MEDGEN:1783778 GARD:0027307 OMIM:619324 UMLS:C5543398"
<http://purl.obolibrary.org/obo/PR_P16333>	"An SH2/SH3 adapter protein NCK1 that is encoded in the genome of human."	"Reactome:R-HSA-197954 UniProtKB:P16333 Reactome:R-HSA-202992"
<http://www.orpha.net/ORDO/Orphanet_352487>		"ICD10:Q87.2"
<http://purl.obolibrary.org/obo/MONDO_0012652>	"A form of limb-girdle muscular dystrophy most often characterized by an adult onset (but ranging from 11 to 51 years) of mainly proximal lower limb weakness, with difficulties standing on tiptoes being one of the initial signs. Proximal upper limb and distal lower limb weakness is also common as well as atrophy of the quadriceps (most commonly), biceps brachii, and lower leg muscles. However, calf hypertrophy has also been reported in some cases. LGMD2L progresses slowly, with most patients remaining ambulatory until late adulthood."	"GARD:0012536 MEDGEN:370102 DOID:0110284 MESH:C566968 Orphanet:206549 OMIM:611307 UMLS:C1969785"
<http://purl.obolibrary.org/obo/PR_000014885>	"A protein that is a translation product of the human SIRPB2 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/PR_000018905>	"An all-trans-retinol dehydrogenase [NAD(+)] ADH1B that has had the initiator methionine removed."	
<http://purl.obolibrary.org/obo/MONDO_0015034>	"Lissencephaly with cerebellar hypoplasia type A (LCHa) is a form of lissencephaly with cerebellar hypoplasia that encompasses classical lissencephaly with thickened cortical gray matter with either no discernible gradient, a gradient with posterior predominance, or a gradient with anterior predominance, and cerebellar vermis hypoplasia."	"Orphanet:100011 UMLS:C5191423 icd11.foundation:853428618 MEDGEN:1679234 GARD:0019731"
<http://www.orpha.net/ORDO/Orphanet_207122>		
<http://purl.obolibrary.org/obo/MONDO_0011883>	"Curly hair-acral keratoderma-caries syndrome is an extremely rare ectodermal dysplasia syndrome characterized by premature loss of curly, brittle, dry hair, premature loss of teeth due to caries, nail dystrophy with thickening of the finger- and toe-nails, acral keratoderma and hypohidrosis. Additionally, sparse eyebrows and eyelashes, receding frontal hairline and flattened malar region are associated. The severity of features appears to increase with age."	"MEDGEN:335923 GARD:0010163 MESH:C536220 UMLS:C1843291 Orphanet:307766 OMIM:607656"
<http://purl.obolibrary.org/obo/MONDO_0012885>	"A rare, non X-linked congenital disorder of gyclosylation due to steroid 5 alpha reductase type 3 deficiency characterized by a highly variable phenotype typically presenting with severe visual impairment, variable ocular anomalies (such as optic nerve hypoplasia/atrophy, iris and optic nerve coloboma, congenital cataract, glaucoma), intellectual disability, cerebellar abnormalities, nystagmus, hypotonia, ataxia, and/or ichthyosiform skin lesions. Other reported manifestations include retinitis pigmentosa, kyphosis, congenital heart defects, hypertrichosis and abnormal coagulation."	"SCTID:733601006 OMIM:612379 DOID:0080568 GARD:0012397 MEDGEN:1392124 UMLS:C4317224 Orphanet:324737"
