?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/GO_0044421>		"GO:0005576"
<http://purl.obolibrary.org/obo/GO_0044422>		"GO:0043226"
<http://purl.obolibrary.org/obo/GO_0044424>		"GO:0005622"
<http://purl.obolibrary.org/obo/GO_0044425>		"GO:0016020"
<http://purl.obolibrary.org/obo/GO_0044428>		"GO:0005634"
<http://purl.obolibrary.org/obo/GO_0044429>		"GO:0005739"
<http://purl.obolibrary.org/obo/GO_0044430>		"GO:0005856"
<http://purl.obolibrary.org/obo/GO_0044433>		"GO:0031410"
<http://purl.obolibrary.org/obo/GO_0044434>		"GO:0009507"
<http://purl.obolibrary.org/obo/GO_0044435>		"GO:0009536"
<http://purl.obolibrary.org/obo/GO_0044444>		"GO:0005737"
<http://purl.obolibrary.org/obo/GO_0044446>		"GO:0043229"
<http://purl.obolibrary.org/obo/GO_0044456>		"GO:0045202"
<http://purl.obolibrary.org/obo/GO_0044462>		"GO:0030312"
<http://purl.obolibrary.org/obo/GO_0044464>		
<http://purl.obolibrary.org/obo/GO_0044699>	<http://purl.obolibrary.org/obo/GO_0008150>	
<http://purl.obolibrary.org/obo/GO_0044700>	<http://purl.obolibrary.org/obo/GO_0023052>	
<http://purl.obolibrary.org/obo/GO_0044707>	<http://purl.obolibrary.org/obo/GO_0032501>	
<http://purl.obolibrary.org/obo/GO_0044710>	<http://purl.obolibrary.org/obo/GO_0008152>	
<http://purl.obolibrary.org/obo/GO_0044763>	<http://purl.obolibrary.org/obo/GO_0009987>	
<http://purl.obolibrary.org/obo/GO_0044765>	<http://purl.obolibrary.org/obo/GO_0006810>	
<http://purl.obolibrary.org/obo/GO_0044767>	<http://purl.obolibrary.org/obo/GO_0032502>	
<http://purl.obolibrary.org/obo/GO_0046483>	"GO:0008152"	
<http://purl.obolibrary.org/obo/GO_0051181>		
<http://purl.obolibrary.org/obo/GO_0051186>		
<http://purl.obolibrary.org/obo/GO_0052047>		
<http://purl.obolibrary.org/obo/GO_0052048>		
<http://purl.obolibrary.org/obo/GO_0055069>		"GO:0006882"
<http://purl.obolibrary.org/obo/GO_0055069>		"GO:0180002"
<http://purl.obolibrary.org/obo/GO_0071704>		
<http://purl.obolibrary.org/obo/GO_1901360>		
<http://purl.obolibrary.org/obo/GO_1901362>		
<http://purl.obolibrary.org/obo/GO_1901555>	"GO:0009410"	
<http://purl.obolibrary.org/obo/GO_1901564>		
<http://purl.obolibrary.org/obo/GO_1901566>		
<http://purl.obolibrary.org/obo/GO_1901576>		
<http://purl.obolibrary.org/obo/GO_1903510>	"GO:0030203"	
<http://purl.obolibrary.org/obo/HANCESTRO_0003>	"http://purl.obolibrary.org/obo/NCIT_C25464"	
<http://purl.obolibrary.org/obo/HANCESTRO_0575>	<http://purl.obolibrary.org/obo/AfPO_0000105>	
<http://purl.obolibrary.org/obo/HP_0000368>	"HP:0000358"	
<http://purl.obolibrary.org/obo/HP_0000535>	<http://purl.obolibrary.org/obo/HP_0045074>	
<http://purl.obolibrary.org/obo/HP_0000535>	<http://purl.obolibrary.org/obo/HP_0045075>	
<http://purl.obolibrary.org/obo/HP_0000720>	"HP:0000712"	
<http://purl.obolibrary.org/obo/HP_0000735>	"HP:0012760"	
<http://purl.obolibrary.org/obo/HP_0000833>	"HP:0001952"	
<http://purl.obolibrary.org/obo/HP_0001388>	"HP:0001382"	
<http://purl.obolibrary.org/obo/HP_0001425>	"HP:0000005"	
<http://purl.obolibrary.org/obo/HP_0001575>	"HP:0000712"	
<http://purl.obolibrary.org/obo/HP_0002109>	"HP:0025426"	
<http://purl.obolibrary.org/obo/HP_0002355>	"HP:0001288"	
<http://purl.obolibrary.org/obo/HP_0002459>	"HP:0012332"	
<http://purl.obolibrary.org/obo/HP_0004367>	"HP:0001939"	
<http://purl.obolibrary.org/obo/HP_0005692>	"HP:0001382"	
<http://purl.obolibrary.org/obo/HP_0006919>	"HP:0000718"	
<http://purl.obolibrary.org/obo/HP_0006957>	"HP:0002505"	
<http://purl.obolibrary.org/obo/HP_0008250>	"HP:0003072"	
<http://purl.obolibrary.org/obo/HP_0008572>	"HP:0000377"	
<http://purl.obolibrary.org/obo/HP_0011007>	"http://purl.obolibrary.org/obo/HP_0003674"	
<http://purl.obolibrary.org/obo/HP_0011398>	"HP:0001252"	
<http://purl.obolibrary.org/obo/HP_0012823>	"http://www.ebi.ac.uk/efo/EFO_0010569"	
<http://purl.obolibrary.org/obo/HP_0025428>	"HP:4000007"	
<http://purl.obolibrary.org/obo/HP_0030276>	"HP:0000046"	
<http://purl.obolibrary.org/obo/HP_0031988>	"HP:0003394"	
<http://purl.obolibrary.org/obo/HP_0040083>	"HP:0030051"	
<http://purl.obolibrary.org/obo/MONDO_0000839>		
<http://purl.obolibrary.org/obo/MONDO_0000883>	"MONDO:0015690"	
<http://purl.obolibrary.org/obo/MONDO_0000991>		"HP:0011713"
<http://purl.obolibrary.org/obo/MONDO_0001578>		"HP:0100790"
<http://purl.obolibrary.org/obo/MONDO_0001589>		"HP:0100672"
<http://purl.obolibrary.org/obo/MONDO_0002336>		"MONDO:0005244"
<http://purl.obolibrary.org/obo/MONDO_0002497>	"MONDO:0700226"	
<http://purl.obolibrary.org/obo/MONDO_0005741>		
<http://purl.obolibrary.org/obo/MONDO_0006089>	"MONDO:0018017"	
<http://purl.obolibrary.org/obo/MONDO_0006361>	"MONDO:0008231"	
<http://purl.obolibrary.org/obo/MONDO_0006588>	"MONDO:0010962"	
<http://purl.obolibrary.org/obo/MONDO_0006772>	"MONDO:0010598"	
<http://purl.obolibrary.org/obo/MONDO_0006832>	"MONDO:0016358"	
<http://purl.obolibrary.org/obo/MONDO_0006906>	"MONDO:0024686"	
<http://purl.obolibrary.org/obo/MONDO_0006928>	"MONDO:0100450"	
<http://purl.obolibrary.org/obo/MONDO_0007021>		
<http://purl.obolibrary.org/obo/MONDO_0007291>	"MONDO:0031037"	
<http://purl.obolibrary.org/obo/MONDO_0007326>	"MONDO:0700089"	
<http://purl.obolibrary.org/obo/MONDO_0007348>		
<http://purl.obolibrary.org/obo/MONDO_0007494>	"MONDO:0100352"	
<http://purl.obolibrary.org/obo/MONDO_0007591>		"HP:0002219"
<http://purl.obolibrary.org/obo/MONDO_0007607>	"http://www.ebi.ac.uk/efo/EFO_0700020"	"MONDO:0800444"
<http://purl.obolibrary.org/obo/MONDO_0007607>	"http://www.ebi.ac.uk/efo/EFO_0700020"	"MONDO:0800445"
<http://purl.obolibrary.org/obo/MONDO_0007761>		
<http://purl.obolibrary.org/obo/MONDO_0007779>		"MONDO:0017138"
<http://purl.obolibrary.org/obo/MONDO_0007779>		"MONDO:0800025"
<http://purl.obolibrary.org/obo/MONDO_0007780>	"MONDO:0800025"	
<http://purl.obolibrary.org/obo/MONDO_0007798>		"MONDO:0600009"
<http://purl.obolibrary.org/obo/MONDO_0007798>		"MONDO:0600010"
<http://purl.obolibrary.org/obo/MONDO_0007798>		"MONDO:0600011"
<http://purl.obolibrary.org/obo/MONDO_0007806>	"MONDO:0100522"	
<http://purl.obolibrary.org/obo/MONDO_0007903>	"MONDO:0018875"	
<http://purl.obolibrary.org/obo/MONDO_0007954>	"MONDO:0015912"	
<http://purl.obolibrary.org/obo/MONDO_0007960>	"MONDO:0100354"	
<http://purl.obolibrary.org/obo/MONDO_0008032>	"MONDO:0012215"	
<http://purl.obolibrary.org/obo/MONDO_0008112>	"MONDO:0015397"	
<http://purl.obolibrary.org/obo/MONDO_0008120>	"MONDO:0016163"	
<http://purl.obolibrary.org/obo/MONDO_0008347>		
<http://purl.obolibrary.org/obo/MONDO_0008406>	"http://www.ebi.ac.uk/efo/EFO_0700021"	
<http://purl.obolibrary.org/obo/MONDO_0008448>	"MONDO:0012215"	
<http://purl.obolibrary.org/obo/MONDO_0008597>		"MONDO:0008596"
<http://purl.obolibrary.org/obo/MONDO_0008646>	"MONDO:0100316"	
<http://purl.obolibrary.org/obo/MONDO_0008664>	"MONDO:0006928"	
<http://purl.obolibrary.org/obo/MONDO_0008852>	"MONDO:0800026"	
<http://purl.obolibrary.org/obo/MONDO_0008940>	"MONDO:0013722"	
<http://purl.obolibrary.org/obo/MONDO_0008952>	"MONDO:0031329"	
<http://purl.obolibrary.org/obo/MONDO_0008996>		"MONDO:0100349"
<http://purl.obolibrary.org/obo/MONDO_0008996>		"MONDO:0800103"
<http://purl.obolibrary.org/obo/MONDO_0009011>	"MONDO:0015167"	
<http://purl.obolibrary.org/obo/MONDO_0009096>	"MONDO:0800027"	
<http://purl.obolibrary.org/obo/MONDO_0009316>	"MONDO:0022316"	
<http://purl.obolibrary.org/obo/MONDO_0009325>	"MONDO:0100229"	
<http://purl.obolibrary.org/obo/MONDO_0009410>	"MONDO:0015129"	
<http://purl.obolibrary.org/obo/MONDO_0009427>		"MONDO:0600009"
<http://purl.obolibrary.org/obo/MONDO_0009427>		"MONDO:0600010"
<http://purl.obolibrary.org/obo/MONDO_0009427>		"MONDO:0600011"
<http://purl.obolibrary.org/obo/MONDO_0009428>		"MONDO:0600009"
<http://purl.obolibrary.org/obo/MONDO_0009428>		"MONDO:0600010"
<http://purl.obolibrary.org/obo/MONDO_0009428>		"MONDO:0600011"
<http://purl.obolibrary.org/obo/MONDO_0009641>	"MONDO:0100294"	
<http://purl.obolibrary.org/obo/MONDO_0009700>	"MONDO:0031415"	
<http://purl.obolibrary.org/obo/MONDO_0009739>	"MONDO:0024457"	
<http://purl.obolibrary.org/obo/MONDO_0009930>		"HP:0006548"
<http://purl.obolibrary.org/obo/MONDO_0009977>	"MONDO:0800166"	
<http://purl.obolibrary.org/obo/MONDO_0009989>	"MONDO:0100288"	
<http://purl.obolibrary.org/obo/MONDO_0009997>	"MONDO:0100253"	
<http://purl.obolibrary.org/obo/MONDO_0010086>		
<http://purl.obolibrary.org/obo/MONDO_0010119>	"MONDO:0031332"	
<http://purl.obolibrary.org/obo/MONDO_0010123>		
<http://purl.obolibrary.org/obo/MONDO_0010143>	"MONDO:0800042"	
<http://purl.obolibrary.org/obo/MONDO_0010204>	"MONDO:0800449"	
<http://purl.obolibrary.org/obo/MONDO_0010204>	"http://www.ebi.ac.uk/efo/EFO_0700022"	
<http://purl.obolibrary.org/obo/MONDO_0010303>	"MONDO:0000170"	
<http://purl.obolibrary.org/obo/MONDO_0010372>	"MONDO:0030914"	
<http://purl.obolibrary.org/obo/MONDO_0010387>	"MONDO:0010386"	
<http://purl.obolibrary.org/obo/MONDO_0010766>	"MONDO:0100250"	
<http://purl.obolibrary.org/obo/MONDO_0010994>		
<http://purl.obolibrary.org/obo/MONDO_0011108>	"MONDO:0800043"	
<http://purl.obolibrary.org/obo/MONDO_0011127>	"MONDO:0100344"	
<http://purl.obolibrary.org/obo/MONDO_0011380>	"MONDO:0800448"	
<http://purl.obolibrary.org/obo/MONDO_0011469>		"MONDO:0800451"
<http://purl.obolibrary.org/obo/MONDO_0011469>		"MONDO:0800452"
<http://purl.obolibrary.org/obo/MONDO_0011499>	"MONDO:0014700"	
<http://purl.obolibrary.org/obo/MONDO_0011707>	"MONDO:0800028"	
<http://purl.obolibrary.org/obo/MONDO_0011876>		"MONDO:0020772"
<http://purl.obolibrary.org/obo/MONDO_0011876>		"MONDO:0800453"
<http://purl.obolibrary.org/obo/MONDO_0011905>	"MONDO:0031446"	
<http://purl.obolibrary.org/obo/MONDO_0012017>	"MONDO:0020783"	
<http://purl.obolibrary.org/obo/MONDO_0012332>	"MONDO:0800046"	
<http://purl.obolibrary.org/obo/MONDO_0013346>	"MONDO:0100215"	
<http://purl.obolibrary.org/obo/MONDO_0013524>	"http://www.ebi.ac.uk/efo/EFO_0700023"	"MONDO:0800446"
<http://purl.obolibrary.org/obo/MONDO_0013524>	"http://www.ebi.ac.uk/efo/EFO_0700023"	"MONDO:0800447"
<http://purl.obolibrary.org/obo/MONDO_0013586>		
<http://purl.obolibrary.org/obo/MONDO_0013676>	"MONDO:0100255"	
<http://purl.obolibrary.org/obo/MONDO_0013733>		
<http://purl.obolibrary.org/obo/MONDO_0013742>	"http://www.ebi.ac.uk/efo/EFO_0700024"	
<http://purl.obolibrary.org/obo/MONDO_0013809>	"MONDO:0044720"	
<http://purl.obolibrary.org/obo/MONDO_0013850>	"MONDO:0044660"	
<http://purl.obolibrary.org/obo/MONDO_0014109>	"MONDO:0800044"	
<http://purl.obolibrary.org/obo/MONDO_0014129>	"MONDO:0011076"	
<http://purl.obolibrary.org/obo/MONDO_0014330>		
<http://purl.obolibrary.org/obo/MONDO_0014753>	"http://www.ebi.ac.uk/efo/EFO_0700025"	
<http://purl.obolibrary.org/obo/MONDO_0014763>		
<http://purl.obolibrary.org/obo/MONDO_0014834>	"MONDO:0044637"	
<http://purl.obolibrary.org/obo/MONDO_0015077>	"MONDO:0021227"	
<http://purl.obolibrary.org/obo/MONDO_0015088>	"http://www.ebi.ac.uk/efo/EFO_0700026"	
<http://purl.obolibrary.org/obo/MONDO_0015089>	"http://www.ebi.ac.uk/efo/EFO_0700027"	
<http://purl.obolibrary.org/obo/MONDO_0015090>		
<http://purl.obolibrary.org/obo/MONDO_0015110>		"MONDO:0007263"
<http://purl.obolibrary.org/obo/MONDO_0015111>	"http://www.ebi.ac.uk/efo/EFO_0700028"	
<http://purl.obolibrary.org/obo/MONDO_0015132>		
<http://purl.obolibrary.org/obo/MONDO_0015135>		
<http://purl.obolibrary.org/obo/MONDO_0015144>	"http://www.ebi.ac.uk/efo/EFO_0700029"	
<http://purl.obolibrary.org/obo/MONDO_0015145>		
<http://purl.obolibrary.org/obo/MONDO_0015147>		
<http://purl.obolibrary.org/obo/MONDO_0015153>		
<http://purl.obolibrary.org/obo/MONDO_0015163>		"MONDO:0019722"
<http://purl.obolibrary.org/obo/MONDO_0015178>		
<http://purl.obolibrary.org/obo/MONDO_0015179>		
<http://purl.obolibrary.org/obo/MONDO_0015180>		
<http://purl.obolibrary.org/obo/MONDO_0015182>		
<http://purl.obolibrary.org/obo/MONDO_0015207>		
<http://purl.obolibrary.org/obo/MONDO_0015208>		
<http://purl.obolibrary.org/obo/MONDO_0015209>		
<http://purl.obolibrary.org/obo/MONDO_0015210>		
<http://purl.obolibrary.org/obo/MONDO_0015211>		
<http://purl.obolibrary.org/obo/MONDO_0015212>		
<http://purl.obolibrary.org/obo/MONDO_0015213>		
<http://purl.obolibrary.org/obo/MONDO_0015214>		
<http://purl.obolibrary.org/obo/MONDO_0015217>		
<http://purl.obolibrary.org/obo/MONDO_0015219>		
<http://purl.obolibrary.org/obo/MONDO_0015221>		
<http://purl.obolibrary.org/obo/MONDO_0015226>		
<http://purl.obolibrary.org/obo/MONDO_0015227>		
<http://purl.obolibrary.org/obo/MONDO_0015246>	"http://www.ebi.ac.uk/efo/EFO_0700030"	
<http://purl.obolibrary.org/obo/MONDO_0015255>		
<http://purl.obolibrary.org/obo/MONDO_0015310>		
<http://purl.obolibrary.org/obo/MONDO_0015330>		
<http://purl.obolibrary.org/obo/MONDO_0015332>		
<http://purl.obolibrary.org/obo/MONDO_0015334>		
<http://purl.obolibrary.org/obo/MONDO_0015335>		"MONDO:0003847"
<http://purl.obolibrary.org/obo/MONDO_0015359>		
<http://purl.obolibrary.org/obo/MONDO_0015360>	"http://www.ebi.ac.uk/efo/EFO_0700031"	
<http://purl.obolibrary.org/obo/MONDO_0015361>	"http://www.ebi.ac.uk/efo/EFO_0700032"	
<http://purl.obolibrary.org/obo/MONDO_0015365>	"http://www.ebi.ac.uk/efo/EFO_0700033"	
<http://purl.obolibrary.org/obo/MONDO_0015366>	"http://www.ebi.ac.uk/efo/EFO_0700034"	
<http://purl.obolibrary.org/obo/MONDO_0015368>		
<http://purl.obolibrary.org/obo/MONDO_0015398>	"MONDO:0015397"	
<http://purl.obolibrary.org/obo/MONDO_0015415>		
<http://purl.obolibrary.org/obo/MONDO_0015418>	"http://www.ebi.ac.uk/efo/EFO_0700035"	
<http://purl.obolibrary.org/obo/MONDO_0015424>		"MONDO:0009253"
<http://purl.obolibrary.org/obo/MONDO_0015429>	"MONDO:0022737"	
<http://purl.obolibrary.org/obo/MONDO_0015470>	"http://www.ebi.ac.uk/efo/EFO_0700036"	
<http://purl.obolibrary.org/obo/MONDO_0015482>		
<http://purl.obolibrary.org/obo/MONDO_0015485>		
<http://purl.obolibrary.org/obo/MONDO_0015497>		
<http://purl.obolibrary.org/obo/MONDO_0015499>		
<http://purl.obolibrary.org/obo/MONDO_0015504>		
<http://purl.obolibrary.org/obo/MONDO_0015505>		
<http://purl.obolibrary.org/obo/MONDO_0015506>		
<http://purl.obolibrary.org/obo/MONDO_0015508>		
<http://purl.obolibrary.org/obo/MONDO_0015509>		
<http://purl.obolibrary.org/obo/MONDO_0015512>		"MONDO:0005044"
<http://purl.obolibrary.org/obo/MONDO_0015522>	"MONDO:0018677"	
<http://purl.obolibrary.org/obo/MONDO_0015551>		"MONDO:0030613"
<http://purl.obolibrary.org/obo/MONDO_0015561>	"MONDO:0020334"	
<http://purl.obolibrary.org/obo/MONDO_0015586>	"http://www.ebi.ac.uk/efo/EFO_0700037"	
<http://purl.obolibrary.org/obo/MONDO_0015598>	"MONDO:0013626"	
<http://purl.obolibrary.org/obo/MONDO_0015603>		
<http://purl.obolibrary.org/obo/MONDO_0015617>		
<http://purl.obolibrary.org/obo/MONDO_0015620>		
<http://purl.obolibrary.org/obo/MONDO_0015668>		
<http://purl.obolibrary.org/obo/MONDO_0015669>		
<http://purl.obolibrary.org/obo/MONDO_0015679>	"http://www.ebi.ac.uk/efo/EFO_0700038"	
<http://purl.obolibrary.org/obo/MONDO_0015765>	"http://www.ebi.ac.uk/efo/EFO_0700039"	
<http://purl.obolibrary.org/obo/MONDO_0015778>	"http://www.ebi.ac.uk/efo/EFO_0700040"	
<http://purl.obolibrary.org/obo/MONDO_0015822>	"http://www.ebi.ac.uk/efo/EFO_0700041"	
<http://purl.obolibrary.org/obo/MONDO_0015823>	"http://www.ebi.ac.uk/efo/EFO_0700042"	
<http://purl.obolibrary.org/obo/MONDO_0015885>		
<http://purl.obolibrary.org/obo/MONDO_0015890>		
<http://purl.obolibrary.org/obo/MONDO_0015902>		
<http://purl.obolibrary.org/obo/MONDO_0015915>	"http://www.ebi.ac.uk/efo/EFO_0700043"	
