?prefix	?numberOfClasses
""	31270
"AfPO"	368
"BFO"	8
"BTO"	74
"CHEBI"	2115
"CL"	728
"CLO"	429
"COB"	2
"DOID"	6
"ECTO"	14
"EO"	43
"FBbi"	54
"FBbt"	110
"FBdv"	1
"FMA"	9
"GAZ"	2
"GO"	775
"GSSO"	16
"HANCESTRO"	321
"HP"	2528
"IAO"	6
"IDO"	1
"MA"	2
"MONDO"	16598
"MP"	3
"MPATH"	3
"NCBITaxon"	1509
"NCIT"	10
"OBA"	17826
"OBI"	88
"OGMS"	1
"OMIT"	5
"PATO"	39
"PO"	215
"PR"	17722
"SO"	6
"TO"	2
"UBERON"	1269
"UO"	98
"WBls"	1
"ZEA"	1
"ZFA"	34
