ID	Label	Type (is-a)
ID	A rdfs:label	C %
hancestro:HANCESTRO_0004	ancestry group	population
hancestro:HANCESTRO_0304	ancestry status	quality
hancestro:HANCESTRO_0003	country	organization
hancestro:HANCESTRO_0005	European	ancestry group
