ID	Label
ID	A rdfs:label
EFO:0000180	HIV-1 infection
EFO:0001063	deafness
EFO:0003826	salivary gland neoplasm
EFO:0004149	neuropathy
EFO:0004229	Dupuytren Contracture
EFO:0004251	myeloproliferative disorder
EFO:0004269	cardiac arrhythmia
EFO:0005138	acquired long QT syndrome
EFO:0005140	autoimmune disease
EFO:0005288	non-small cell lung adenocarcinoma
EFO:0005297	Granulomatosis with Polyangiitis
EFO:0005560	hereditary multiple exostoses
EFO:0006890	fibrosis
EFO:0007299	hemorrhagic fever with renal syndrome
EFO:0007483	sex cord-gonadal stromal tumor
EFO:0007540	animal viral hepatitis
EFO:0008494	Chikungunya encephalitis
EFO:0008497	chronic lung allograft dysfunction
EFO:0008501	dysplasia
EFO:0008502	gastric non-cardia carcinoma
EFO:0008503	hepatitis B virus induced hepatocellular carcinoma
EFO:0008504	hepatitis C virus induced hepatocellular carcinoma
EFO:0008505	hepatitis virus-related hepatocellular carcinoma
EFO:0008511	metopic craniosynostosis
EFO:0008512	micropapillary urothelial carcinoma
EFO:0008517	oral lichen planus
EFO:0008519	primary hyperparathyroidism
EFO:0008523	sessile serrated polyp
EFO:0008528	urothelial carcinoma
EFO:0008532	clinically amyopathic dermatomyositis
EFO:0008536	anti-centromere-antibody-positive systemic scleroderma
EFO:0008537	anti-topoisomerase-I-antibody-positive systemic scleroderma
EFO:0008546	poisoning
EFO:0008553	femur fracture
EFO:0008555	Methicillin-Resistant Staphylococcus Aureus Infection
EFO:0008556	Methicillin-Resistant Staphylococcus Aureus Pneumonia
EFO:0008557	Methicillin-Susceptible Staphylococcus Aureus Infection
EFO:0008558	Vancomycin-Resistant Staphylococcus Aureus Infection
EFO:0008559	American trypanosomiasis
EFO:0008561	diaphragmatic hernia
EFO:0008571	viral conjunctivitis
EFO:0008572	malnutrition
EFO:0008573	alcoholic liver disease
EFO:0008576	Spinal Osteochondrosis
EFO:0008577	Juvenile Osteochondrosis
EFO:0008584	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
EFO:0008585	ST Elevation Myocardial Infarction
EFO:0008586	Non-ST Elevation Myocardial Infarction
EFO:0008604	IgA pemphigus
EFO:0008605	IgG/IgA pemphigus
EFO:0008606	pemphigus herpetiformis
EFO:0008607	drug-induced pemphigus
EFO:0008608	radiotherapy-induced pemphigus
EFO:0008611	localised cicatricial pemphigoid
EFO:0008612	vegetating cicatricial pemphigoid
EFO:0008614	Iodine Deficiency Hypothyroidism
EFO:0008616	Complex Cyst of Kidney
EFO:0008617	Medullary Cystic Kidney Disease Type I
EFO:0008619	Simple Cyst of Kidney
EFO:0008620	Polycystic Kidney Disease
EFO:0008621	Microcystic Renal Disease
EFO:0008622	female genital tract polyp
EFO:0008625	vitreous prolapse
EFO:0008626	vitreous hemorrhage
EFO:0008627	eye hemorrhage
EFO:0008628	Hyalitis
EFO:0008997	synovitis
EFO:0008998	acute synovitis
EFO:0009000	Mast Cell Neoplasm
EFO:0009001	Mastocytosis
EFO:0009002	splenic disease
EFO:0009003	ovarian dysfunction
EFO:0009004	hyperestrogenism
EFO:0009005	premature menopause
EFO:0009006	hyperandrogenism
EFO:0009007	Adrenal Hyperandrogenism
EFO:0009008	Ovarian Hyperandrogenism
EFO:0009009	Pyoderma gangrenosum-acne-suppurative hidradenitis syndrome
EFO:0009011	Arteritis
EFO:0009012	Polyarteritis Nodosa
EFO:0009014	3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia
EFO:0009015	AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome
EFO:0009016	Ataxia-oculomotor apraxia type 4
EFO:0009017	Autosomal recessive spastic paraplegia type 57
EFO:0009018	Autosomal recessive spastic paraplegia type 75
EFO:0009019	Autosomal recessive spastic paraplegia type 76
EFO:0009020	Aymé-Gripp syndrome
EFO:0009021	Bardet-Biedl syndrome 1
EFO:0009022	Bardet-Biedl syndrome 10
EFO:0009023	Bardet-Biedl syndrome 12
EFO:0009024	Bardet-Biedl syndrome 4
EFO:0009025	Bardet-Biedl syndrome 5
EFO:0009026	Bardet-Biedl syndrome 7
EFO:0009027	Bardet-Biedl syndrome 9
EFO:0009028	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome
EFO:0009029	Central precocious puberty
EFO:0009030	Cerebellar-facial-dental syndrome
EFO:0009031	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome
EFO:0009032	Combined oxidative phosphorylation defect type 21
EFO:0009033	Combined oxidative phosphorylation defect type 23
EFO:0009034	Combined oxidative phosphorylation defect type 24
EFO:0009035	Combined oxidative phosphorylation defect type 25
EFO:0009036	Combined oxidative phosphorylation defect type 26
EFO:0009037	Combined oxidative phosphorylation defect type 27
EFO:0009038	Combined oxidative phosphorylation defect type 30
EFO:0009039	Congenital bile acid synthesis defect
EFO:0009040	Cranio-cervical dystonia with laryngeal and upper-limb involvement
EFO:0009041	Cushing syndrome due to macronodular adrenal hyperplasia
EFO:0009042	Estrogen resistance syndrome
EFO:0009043	Familial porphyria cutanea tarda
EFO:0009044	Fanconi anemia complementation group A
EFO:0009045	Fanconi anemia complementation group F
EFO:0009046	Fanconi anemia complementation group G
EFO:0009048	Intrahepatic cholestasis of pregnancy
EFO:0009049	Juvenile nephropathic cystinosis
EFO:0009050	Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
EFO:0009053	Primary progressive aphasia
EFO:0009054	Pulmonary arterial hypertension associated with congenital heart disease
EFO:0009055	RIDDLE syndrome
EFO:0009056	Spinocerebellar ataxia type 38
EFO:0009057	Spinocerebellar ataxia type 40
EFO:0009058	Spinocerebellar ataxia type 41
EFO:0009059	Spinocerebellar ataxia type 42
EFO:0009060	Spinocerebellar ataxia type 43
EFO:0009061	TELO2-related intellectual disability-neurodevelopmental disorder
EFO:0009062	Temple-Baraitser syndrome
EFO:0009063	Wolfram-like syndrome
EFO:0009064	X-linked erythropoietic protoporphyria
EFO:0009065	calcium oxalate urolithiasis
EFO:0009066	clcn4-related disorder
EFO:0009067	combined partial 17-alpha-hydroxylase/17,20-lyase deficiency
EFO:0009068	dicer1 syndrome
EFO:0009069	hepatic methionine adenosyltransferase deficiency
