ID	OBSOLETE	REPLACED BY	OBSOLETED IN VERSION	REASON FOR OBSOLETION
http://www.orpha.net/ORDO/Orphanet_2292	true	http://purl.obolibrary.org/obo/MONDO_0008882	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008882
http://www.orpha.net/ORDO/Orphanet_102373	true	http://purl.obolibrary.org/obo/MONDO_0015163	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015163
http://www.orpha.net/ORDO/Orphanet_261983	true	http://purl.obolibrary.org/obo/MONDO_0016897	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016897
http://www.orpha.net/ORDO/Orphanet_293165	true	http://purl.obolibrary.org/obo/MONDO_0011882	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011882
http://www.orpha.net/ORDO/Orphanet_95429	true	http://purl.obolibrary.org/obo/MONDO_0019803	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019803
http://www.orpha.net/ORDO/Orphanet_319595	true	http://purl.obolibrary.org/obo/MONDO_0013956	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0013956
http://www.orpha.net/ORDO/Orphanet_799	true	http://purl.obolibrary.org/obo/MONDO_0010011	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010011
http://www.orpha.net/ORDO/Orphanet_207101	true	http://purl.obolibrary.org/obo/MONDO_0016151	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016151
http://www.orpha.net/ORDO/Orphanet_171881	true	http://purl.obolibrary.org/obo/MONDO_0015753	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015753
http://www.orpha.net/ORDO/Orphanet_99856	true	http://purl.obolibrary.org/obo/MONDO_0020508	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0020508
http://www.orpha.net/ORDO/Orphanet_31709	true	http://purl.obolibrary.org/obo/MONDO_0011178	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011178
http://www.orpha.net/ORDO/Orphanet_98766	true	http://purl.obolibrary.org/obo/MONDO_0010848	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010848
http://www.orpha.net/ORDO/Orphanet_329918	true	http://purl.obolibrary.org/obo/MONDO_0018013	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018013
http://www.orpha.net/ORDO/Orphanet_398166	true	http://purl.obolibrary.org/obo/MONDO_0018363	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018363
http://www.orpha.net/ORDO/Orphanet_363965	true	http://purl.obolibrary.org/obo/MONDO_0018217	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018217
http://www.orpha.net/ORDO/Orphanet_2707	true	http://purl.obolibrary.org/obo/MONDO_0009485	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009485
http://www.orpha.net/ORDO/Orphanet_9	true	http://purl.obolibrary.org/obo/MONDO_0019525	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019525
