term_iri	term_label	term_namespace	mondo_iri	mondo_label	in_efo_edit_owl
http://purl.obolibrary.org/obo/DOID_0050890	synucleinopathy	DOID	http://purl.obolibrary.org/obo/MONDO_0000510	synucleinopathy	yes
http://purl.obolibrary.org/obo/DOID_10113	trypanosomiasis	DOID	http://purl.obolibrary.org/obo/MONDO_0000940	trypanosomiasis	yes
http://purl.obolibrary.org/obo/DOID_10718	giardiasis	DOID	http://purl.obolibrary.org/obo/MONDO_0001103	giardiasis	yes
http://purl.obolibrary.org/obo/DOID_13406	pulmonary sarcoidosis	DOID	http://purl.obolibrary.org/obo/MONDO_0001708	pulmonary sarcoidosis	yes
http://purl.obolibrary.org/obo/DOID_1947	trichomoniasis	DOID	http://purl.obolibrary.org/obo/MONDO_0002154	trichomoniasis	yes
http://purl.obolibrary.org/obo/DOID_7551	gonorrhea	DOID	http://purl.obolibrary.org/obo/MONDO_0004277	gonorrhea	yes
