Pheno_ID	Pheno_Label	Disease_ID	Disease_Label	Normalized
HP:0001010	Hypopigmentation of the skin	MONDO:0019290	hypopigmentation of the skin	hypopigmentationoftheskin
HP:0002383	Infectious encephalitis	MONDO:0020067	infectious encephalitis	infectiousencephalitis
HP:0000789	Infertility	EFO:0000545	infertility	infertility
HP:0001094	Iridocyclitis	MONDO:0004773	iridocyclitis	iridocyclitis
HP:0000491	Keratitis	EFO:0009449	keratitis	keratitis
HP:0003128	Lactic acidosis	EFO:1000036	lactic acidosis	lacticacidosis
HP:0004789	Lactose intolerance	EFO:1000062	lactose intolerance	lactoseintolerance
HP:0030682	Left ventricular noncompaction	MONDO:0018901	left ventricular noncompaction	leftventricularnoncompaction
HP:0009125	Lipodystrophy	EFO:1000727	lipodystrophy	lipodystrophy
HP:0002840	Lymphadenitis	MONDO:0002052	lymphadenitis	lymphadenitis
HP:0001004	Lymphedema	MONDO:0019297	lymphedema	lymphedema
HP:0000608	Macular degeneration	EFO:0009606	macular degeneration	maculardegeneration
HP:0001889	Megaloblastic anemia	MONDO:0001700	megaloblastic anemia	megaloblasticanemia
HP:0000485	Megalocornea	MONDO:0009576	megalocornea	megalocornea
HP:0001287	Meningitis	MONDO:0021108	meningitis	meningitis
HP:0001942	Metabolic acidosis	MONDO:0000440	metabolic acidosis	metabolicacidosis
HP:0002912	Methylmalonic acidemia	MONDO:0002012	methylmalonic acidemia	methylmalonicacidemia
HP:0000252	Microcephaly	MONDO:0001149	microcephaly	microcephaly
HP:0001935	Microcytic anemia	MONDO:0001245	microcytic anemia	microcyticanemia
HP:0003560	Muscular dystrophy	MONDO:0020121	muscular dystrophy	musculardystrophy
HP:0011974	Myelofibrosis	MONDO:0044903	myelofibrosis	myelofibrosis
HP:0003198	Myopathy	EFO:0004145	myopathy	myopathy
HP:0000545	Myopia	MONDO:0001384	myopia	myopia
HP:0000121	Nephrocalcinosis	MONDO:0001567	nephrocalcinosis	nephrocalcinosis
HP:0000090	Nephronophthisis	MONDO:0019005	nephronophthisis	nephronophthisis
HP:0012817	Noncompaction cardiomyopathy	EFO:0004686	non-compaction cardiomyopathy	noncompactioncardiomyopathy
HP:0001513	Obesity	EFO:0001073	obesity	obesity
HP:0000648	Optic atrophy	MONDO:0003608	optic atrophy	opticatrophy
HP:0000202	Orofacial cleft	MONDO:0000358	orofacial cleft	orofacialcleft
HP:0010886	Osteochondritis dissecans	MONDO:0017178	osteochondritis dissecans	osteochondritisdissecans
HP:0011002	Osteopetrosis	MONDO:0017198	osteopetrosis	osteopetrosis
HP:0000939	Osteoporosis	EFO:0003882	osteoporosis	osteoporosis
HP:0001733	Pancreatitis	EFO:0000278	pancreatitis	pancreatitis
HP:0010550	Paraplegia	EFO:0009679	paraplegia	paraplegia
HP:0001698	Pericardial effusion	MONDO:0001370	pericardial effusion	pericardialeffusion
HP:0040165	Periostitis	MONDO:0004934	periostitis	periostitis
HP:0009830	Peripheral neuropathy	EFO:0003100	peripheral neuropathy	peripheralneuropathy
HP:0012075	Personality disorder	MONDO:0002028	personality disorder	personalitydisorder
HP:0002090	Pneumonia	EFO:0003106	pneumonia	pneumonia
HP:0002107	Pneumothorax	MONDO:0002076	pneumothorax	pneumothorax
HP:0010442	Polydactyly	MONDO:0021003	polydactyly	polydactyly
HP:0012876	Premature ejaculation	MONDO:0001780	premature ejaculation	prematureejaculation
HP:0002204	Pulmonary embolism	EFO:0003827	pulmonary embolism	pulmonaryembolism
HP:0012410	Pure red cell aplasia	MONDO:0001705	pure red-cell aplasia	pureredcellaplasia
HP:0000979	Purpura	MONDO:0002610	purpura	purpura
HP:0001370	Rheumatoid arthritis	EFO:0000685	rheumatoid arthritis	rheumatoidarthritis
HP:0002748	Rickets	EFO:0005583	rickets	rickets
HP:0100324	Scleroderma	EFO:1001993	scleroderma	scleroderma
HP:0001051	Seborrheic dermatitis	EFO:1000764	seborrheic dermatitis	seborrheicdermatitis
HP:0004430	Severe combined immunodeficiency	MONDO:0015974	severe combined immunodeficiency	severecombinedimmunodeficiency
HP:0001924	Sideroblastic anemia	MONDO:0015194	sideroblastic anemia	sideroblasticanemia
HP:0002652	Skeletal dysplasia	MONDO:0018230	skeletal dysplasia	skeletaldysplasia
HP:0010535	Sleep apnea	EFO:0003877	sleep apnea	sleepapnea
HP:0002651	Spondyloepimetaphyseal dysplasia	MONDO:0100510	spondyloepimetaphyseal dysplasia	spondyloepimetaphysealdysplasia
HP:0002655	Spondyloepiphyseal dysplasia	MONDO:0016761	spondyloepiphyseal dysplasia	spondyloepiphysealdysplasia
HP:0001297	Stroke	EFO:0000712	stroke	stroke
HP:0004381	Supravalvular aortic stenosis	MONDO:0008504	supravalvular aortic stenosis	supravalvularaorticstenosis
HP:0001159	Syndactyly	MONDO:0021002	syndactyly	syndactyly
HP:0002725	Systemic lupus erythematosus	MONDO:0007915	systemic lupus erythematosus	systemiclupuserythematosus
HP:0009804	Tooth agenesis	EFO:0005410	tooth agenesis	toothagenesis
HP:0025246	Trichilemmal cyst	MONDO:0012328	trichilemmal cyst	trichilemmalcyst
HP:0000243	Trigonocephaly	MONDO:0000156	trigonocephaly	trigonocephaly
HP:0003614	Trimethylaminuria	MONDO:0011182	trimethylaminuria	trimethylaminuria
HP:0007716	Uveal melanoma	EFO:1000616	Uveal Melanoma	uvealmelanoma
HP:0000554	Uveitis	EFO:1001231	uveitis	uveitis
HP:0002633	Vasculitis	EFO:0006803	vasculitis	vasculitis
HP:0001663	Ventricular fibrillation	EFO:0004287	ventricular fibrillation	ventricularfibrillation
HP:0030222	Visual agnosia	MONDO:0000685	visual agnosia	visualagnosia
HP:0031247	Whooping cough	EFO:0000650	whooping cough	whoopingcough
