label	ID	parent_term
ABHD14B/SCRN1 protein level ratio in blood	OBA_2055765	protein measurement (EFO_0004747)
ABHD14B/SPARC protein level ratio in blood	OBA_2055766	protein measurement (EFO_0004747)
ABHD14B/STAMBP protein level ratio in blood	OBA_2055767	protein measurement (EFO_0004747)
ABL1/CC2D1A protein level ratio in blood	OBA_2055768	protein measurement (EFO_0004747)
ABL1/DNMBP protein level ratio in blood	OBA_2055769	protein measurement (EFO_0004747)
ABL1/PDLIM7 protein level ratio in blood	OBA_2055770	protein measurement (EFO_0004747)
ABL1/TBC1D23 protein level ratio in blood	OBA_2055771	protein measurement (EFO_0004747)
ACAA1/GRPEL1 protein level ratio in blood	OBA_2055772	protein measurement (EFO_0004747)
ACE2/GGT1 protein level ratio in blood	OBA_2055773	protein measurement (EFO_0004747)
ACE2/MME protein level ratio in blood	OBA_2055774	protein measurement (EFO_0004747)
ACOX1/VSIR protein level ratio in blood	OBA_2055775	protein measurement (EFO_0004747)
ACVRL1/EFNA4 protein level ratio in blood	OBA_2055776	protein measurement (EFO_0004747)
ACVRL1/SCARB2 protein level ratio in blood	OBA_2055777	protein measurement (EFO_0004747)
ACVRL1/TNFRSF10B protein level ratio in blood	OBA_2055778	protein measurement (EFO_0004747)
ACVRL1/TNFRSF19 protein level ratio in blood	OBA_2055779	protein measurement (EFO_0004747)
ACVRL1/TNFRSF9 protein level ratio in blood	OBA_2055780	protein measurement (EFO_0004747)
ACY1/ADH4 protein level ratio in blood	OBA_2055781	protein measurement (EFO_0004747)
ACY1/DCXR protein level ratio in blood	OBA_2055782	protein measurement (EFO_0004747)
ACY1/GSTA1 protein level ratio in blood	OBA_2055783	protein measurement (EFO_0004747)
ACY1/KYNU protein level ratio in blood	OBA_2055784	protein measurement (EFO_0004747)
ACY1/SCLY protein level ratio in blood	OBA_2053680	protein measurement (EFO_0004747)
ADA2/COMP protein level ratio in blood	OBA_2053681	protein measurement (EFO_0004747)
ADA2/VCAM1 protein level ratio in blood	OBA_2053682	protein measurement (EFO_0004747)
ADAM22/EPHB6 protein level ratio in blood	OBA_2053683	protein measurement (EFO_0004747)
ADAM23/BSG protein level ratio in blood	OBA_2053684	protein measurement (EFO_0004747)
ADAMTS-like protein 1 measurement	EFO_0802254	protein measurement (EFO_0004747)
ADAMTS13 activity measurement	EFO_0006955	protein measurement (EFO_0004747)
ADAMTS13 measurement	EFO_0009269	protein measurement (EFO_0004747)
ADAMTS15/CLMP protein level ratio in blood	OBA_2053735	protein measurement (EFO_0004747)
ADAMTS15/SULT2A1 protein level ratio in blood	OBA_2053736	protein measurement (EFO_0004747)
ADAMTS8/FAP protein level ratio in blood	OBA_2053737	protein measurement (EFO_0004747)
ADGRE2/ADGRE5 protein level ratio in blood	OBA_2053738	protein measurement (EFO_0004747)
ADGRE2/B4GALT1 protein level ratio in blood	OBA_2053739	protein measurement (EFO_0004747)
ADGRE2/CD58 protein level ratio in blood	OBA_2053740	protein measurement (EFO_0004747)
ADGRE2/CRIM1 protein level ratio in blood	OBA_2053741	protein measurement (EFO_0004747)
ADGRE2/IFNGR1 protein level ratio in blood	OBA_2053742	protein measurement (EFO_0004747)
ADGRE2/SIGLEC1 protein level ratio in blood	OBA_2053743	protein measurement (EFO_0004747)
ADGRE5/GAS6 protein level ratio in blood	OBA_2053744	protein measurement (EFO_0004747)
ADGRE5/ITGB2 protein level ratio in blood	OBA_2053745	protein measurement (EFO_0004747)
ADGRE5/NOTCH1 protein level ratio in blood	OBA_2053746	protein measurement (EFO_0004747)
ADGRE5/PLXNB2 protein level ratio in blood	OBA_2053747	protein measurement (EFO_0004747)
ADGRE5/SEMA7A protein level ratio in blood	OBA_2053748	protein measurement (EFO_0004747)
ADGRE5/VCAM1 protein level ratio in blood	OBA_2053749	protein measurement (EFO_0004747)
ADGRG2/ITGB1 protein level ratio in blood	OBA_2053750	protein measurement (EFO_0004747)
ADGRG2/NRCAM protein level ratio in blood	OBA_2053751	protein measurement (EFO_0004747)
ADGRG2/SDC1 protein level ratio in blood	OBA_2053752	protein measurement (EFO_0004747)
ADH4/C19orf12 protein level ratio in blood	OBA_2053753	protein measurement (EFO_0004747)
ADH4/CA5A protein level ratio in blood	OBA_2053754	protein measurement (EFO_0004747)
ADH4/DCXR protein level ratio in blood	OBA_2053755	protein measurement (EFO_0004747)
ADH4/GSTA1 protein level ratio in blood	OBA_2053756	protein measurement (EFO_0004747)
ADH4/KRT18 protein level ratio in blood	OBA_2053757	protein measurement (EFO_0004747)
ADH4/KYNU protein level ratio in blood	OBA_2053758	protein measurement (EFO_0004747)
ADH4/RBP5 protein level ratio in blood	OBA_2053759	protein measurement (EFO_0004747)
ADH4/SCLY protein level ratio in blood	OBA_2053635	protein measurement (EFO_0004747)
ADH4/SORD protein level ratio in blood	OBA_2053636	protein measurement (EFO_0004747)
ADM/CLMP protein level ratio in blood	OBA_2053637	protein measurement (EFO_0004747)
ADP-dependent glucokinase measurement	EFO_0802258	protein measurement (EFO_0004747)
ADP-ribose pyrophosphatase, mitochondrial measurement	EFO_0801349	protein measurement (EFO_0004747)
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 measurement	EFO_0021923	protein measurement (EFO_0004747)
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 measurement	EFO_0008014	blood protein amount (OBA_VT0005416)
ADP-ribosylation factor 3 measurement	EFO_0802259	protein measurement (EFO_0004747)
ADP-ribosylation factor 6 measurement	EFO_0801350	protein measurement (EFO_0004747)
ADP-ribosylation factor GTPase-activating protein 2 measurement	EFO_0801351	protein measurement (EFO_0004747)
ADP-ribosylation factor-binding protein GGA1 measurement	EFO_0801352	protein measurement (EFO_0004747)
ADP-ribosylation factor-binding protein GGA3 measurement	EFO_0801353	protein measurement (EFO_0004747)
ADP-ribosylation factor-like protein 1 measurement	EFO_0801354	protein measurement (EFO_0004747)
ADP-ribosylation factor-like protein 11 measurement	EFO_0801355	protein measurement (EFO_0004747)
ADP-ribosylation factor-like protein 3 measurement	EFO_0801356	protein measurement (EFO_0004747)
AGRN/B4GALT1 protein level ratio in blood	OBA_2053638	protein measurement (EFO_0004747)
AGRN/BTN2A1 protein level ratio in blood	OBA_2053639	protein measurement (EFO_0004747)
AGRN/CRIM1 protein level ratio in blood	OBA_2053640	protein measurement (EFO_0004747)
AGRN/HSPG2 protein level ratio in blood	OBA_2053641	protein measurement (EFO_0004747)
AGRP/CCN1 protein level ratio in blood	OBA_2053642	protein measurement (EFO_0004747)
AGRP/NPY protein level ratio in blood	OBA_2053643	protein measurement (EFO_0004747)
AGXT/CA5A protein level ratio in blood	OBA_2053644	protein measurement (EFO_0004747)
AGXT/GRPEL1 protein level ratio in blood	OBA_2053645	protein measurement (EFO_0004747)
AGXT/GSTA1 protein level ratio in blood	OBA_2053646	protein measurement (EFO_0004747)
AGXT/MME protein level ratio in blood	OBA_2053647	protein measurement (EFO_0004747)
AH receptor-interacting protein measurement	EFO_0020134	protein measurement (EFO_0004747)
AHCY/FABP5 protein level ratio in blood	OBA_2053648	protein measurement (EFO_0004747)
AHCY/FADD protein level ratio in blood	OBA_2053649	protein measurement (EFO_0004747)
AHCY/GRAP2 protein level ratio in blood	OBA_2053650	protein measurement (EFO_0004747)
AHCY/HSPA1A protein level ratio in blood	OBA_2053651	protein measurement (EFO_0004747)
AHCY/KYAT1 protein level ratio in blood	OBA_2053652	protein measurement (EFO_0004747)
AHCY/SNAP23 protein level ratio in blood	OBA_2053653	protein measurement (EFO_0004747)
