label	ID	parent_term
CCL21 measurement	EFO_0009416	blood protein amount (OBA_VT0005416)
CCL22/PDGFB protein level ratio in blood	OBA_2054702	protein measurement (EFO_0004747)
CCL22/TIMP3 protein level ratio in blood	OBA_2054703	protein measurement (EFO_0004747)
CCL23 measurement	EFO_0009417	blood protein amount (OBA_VT0005416)
CCL24 measurement	EFO_0009418	blood protein amount (OBA_VT0005416)
CCL25 measurement	EFO_0010768	blood protein amount (OBA_VT0005416)
CCL25/PRSS27 protein level ratio in blood	OBA_2054704	protein measurement (EFO_0004747)
CCL28 measurement	EFO_0010769	blood protein amount (OBA_VT0005416)
CCL28/PDGFB protein level ratio in blood	OBA_2054705	protein measurement (EFO_0004747)
CCL3 measurement	EFO_0010770	blood protein amount (OBA_VT0005416)
CCL3/CCL4 protein level ratio in blood	OBA_2054707	protein measurement (EFO_0004747)
CCL5 measurement	EFO_0005117	cytokine measurement (EFO_0004873)
CCL5/CCN2 protein level ratio in blood	OBA_2054708	protein measurement (EFO_0004747)
CCL5/CD40LG protein level ratio in blood	OBA_2054709	protein measurement (EFO_0004747)
CCL5/CXCL3 protein level ratio in blood	OBA_2054710	protein measurement (EFO_0004747)
CCL5/CXCL5 protein level ratio in blood	OBA_2054711	protein measurement (EFO_0004747)
CCL5/DKK1 protein level ratio in blood	OBA_2054712	protein measurement (EFO_0004747)
CCL5/LAMA4 protein level ratio in blood	OBA_2055313	protein measurement (EFO_0004747)
CCL5/RARRES2 protein level ratio in blood	OBA_2055314	protein measurement (EFO_0004747)
CCL5/SELP protein level ratio in blood	OBA_2055315	protein measurement (EFO_0004747)
CCL5/SERPINE1 protein level ratio in blood	OBA_2055316	protein measurement (EFO_0004747)
CCL5/TACC3 protein level ratio in blood	OBA_2055317	protein measurement (EFO_0004747)
CCL5/TFPI protein level ratio in blood	OBA_2055221	protein measurement (EFO_0004747)
CCN family member 2 level	OBA_2050165	protein amount (OBA_VT0010120)
CCN1/DNAJB1 protein level ratio in blood	OBA_2055222	protein measurement (EFO_0004747)
CCN2/DKK1 protein level ratio in blood	OBA_2055223	protein measurement (EFO_0004747)
CCN2/EDAR protein level ratio in blood	OBA_2055224	protein measurement (EFO_0004747)
CCN2/ENO2 protein level ratio in blood	OBA_2055225	protein measurement (EFO_0004747)
CCN2/HBEGF protein level ratio in blood	OBA_2055226	protein measurement (EFO_0004747)
CCN2/MGLL protein level ratio in blood	OBA_2055227	protein measurement (EFO_0004747)
CCN2/SERPINB1 protein level ratio in blood	OBA_2055228	protein measurement (EFO_0004747)
CCN2/SPINT2 protein level ratio in blood	OBA_2055229	protein measurement (EFO_0004747)
CCN2/TACC3 protein level ratio in blood	OBA_2055230	protein measurement (EFO_0004747)
CCN2/TPP1 protein level ratio in blood	OBA_2055231	protein measurement (EFO_0004747)
CCN2/VEGFC protein level ratio in blood	OBA_2055232	protein measurement (EFO_0004747)
CCN3/COL6A3 protein level ratio in blood	OBA_2055233	protein measurement (EFO_0004747)
CCN3/FAP protein level ratio in blood	OBA_2055234	protein measurement (EFO_0004747)
CCN3/PGF protein level ratio in blood	OBA_2055235	protein measurement (EFO_0004747)
CCN5/IGFBP6 protein level ratio in blood	OBA_2055236	protein measurement (EFO_0004747)
CCR4-NOT transcription complex subunit 1 measurement	EFO_0802377	protein measurement (EFO_0004747)
CCT5/CHAC2 protein level ratio in blood	OBA_2055237	protein measurement (EFO_0004747)
CCT5/DAPP1 protein level ratio in blood	OBA_2055263	protein measurement (EFO_0004747)
CCT5/DCTN1 protein level ratio in blood	OBA_2055264	protein measurement (EFO_0004747)
CD109 antigen measurement	EFO_0008076	blood protein amount (OBA_VT0005416)
CD109/CNTN4 protein level ratio in blood	OBA_2055265	protein measurement (EFO_0004747)
CD160/CXCL16 protein level ratio in blood	OBA_2055266	protein measurement (EFO_0004747)
CD160/IL15 protein level ratio in blood	OBA_2055267	protein measurement (EFO_0004747)
CD160/KIR2DL3 protein level ratio in blood	OBA_2055268	protein measurement (EFO_0004747)
CD160/KLRB1 protein level ratio in blood	OBA_2055269	protein measurement (EFO_0004747)
CD160/NCR1 protein level ratio in blood	OBA_2055270	protein measurement (EFO_0004747)
CD163/DSC2 protein level ratio in blood	OBA_2055271	protein measurement (EFO_0004747)
CD163/FOLR2 protein level ratio in blood	OBA_2055272	protein measurement (EFO_0004747)
CD163/ICAM1 protein level ratio in blood	OBA_2055273	protein measurement (EFO_0004747)
CD163/IL18BP protein level ratio in blood	OBA_2055274	protein measurement (EFO_0004747)
CD163/MARCO protein level ratio in blood	OBA_2055275	protein measurement (EFO_0004747)
CD163/MSR1 protein level ratio in blood	OBA_2055276	protein measurement (EFO_0004747)
CD163/SIGLEC1 protein level ratio in blood	OBA_2055277	protein measurement (EFO_0004747)
CD164/CD99 protein level ratio in blood	OBA_2055278	protein measurement (EFO_0004747)
CD164/LGMN protein level ratio in blood	OBA_2055279	protein measurement (EFO_0004747)
CD164/NUDT5 protein level ratio in blood	OBA_2055280	protein measurement (EFO_0004747)
CD164/PARK7 protein level ratio in blood	OBA_2055281	protein measurement (EFO_0004747)
CD164/SIAE protein level ratio in blood	OBA_2055282	protein measurement (EFO_0004747)
CD166 antigen measurement	EFO_0020245	protein measurement (EFO_0004747)
CD19-positive B-lymphocyte count	EFO_0010108	lymphocyte count (EFO_0004587)
CD1C/CD207 protein level ratio in blood	OBA_2055283	protein measurement (EFO_0004747)
CD200/CLEC4G protein level ratio in blood	OBA_2055284	protein measurement (EFO_0004747)
CD200/CNTNAP2 protein level ratio in blood	OBA_2055285	protein measurement (EFO_0004747)
CD200R1/CLEC4G protein level ratio in blood	OBA_2055286	protein measurement (EFO_0004747)
CD209 antigen measurement	EFO_0008077	blood protein amount (OBA_VT0005416)
CD209/CLEC14A protein level ratio in blood	OBA_2055287	protein measurement (EFO_0004747)
CD209/CLEC4G protein level ratio in blood	OBA_2055364	protein measurement (EFO_0004747)
CD209/GP2 protein level ratio in blood	OBA_2055365	protein measurement (EFO_0004747)
CD209/ICAM2 protein level ratio in blood	OBA_2055366	protein measurement (EFO_0004747)
CD209/ITGAV protein level ratio in blood	OBA_2055367	protein measurement (EFO_0004747)
CD209/SELE protein level ratio in blood	OBA_2055368	protein measurement (EFO_0004747)
CD22/CD79B protein level ratio in blood	OBA_2055369	protein measurement (EFO_0004747)
CD22/FCER2 protein level ratio in blood	OBA_2055370	protein measurement (EFO_0004747)
CD22/FCRL1 protein level ratio in blood	OBA_2055371	protein measurement (EFO_0004747)
CD22/FOLR2 protein level ratio in blood	OBA_2055372	protein measurement (EFO_0004747)
CD22/SEMA7A protein level ratio in blood	OBA_2055373	protein measurement (EFO_0004747)
CD22/TCL1A protein level ratio in blood	OBA_2055374	protein measurement (EFO_0004747)
CD22/TNFRSF13C protein level ratio in blood	OBA_2055375	protein measurement (EFO_0004747)
CD226 antigen measurement	EFO_0020246	protein measurement (EFO_0004747)
CD244 measurement	EFO_0010772	blood protein amount (OBA_VT0005416)
CD244/CD84 protein level ratio in blood	OBA_2055376	protein measurement (EFO_0004747)
CD244/CRTAM protein level ratio in blood	OBA_2055377	protein measurement (EFO_0004747)
CD244/EDAR protein level ratio in blood	OBA_2055378	protein measurement (EFO_0004747)
CD244/FCRL6 protein level ratio in blood	OBA_2055379	protein measurement (EFO_0004747)
CD244/GP1BA protein level ratio in blood	OBA_2055380	protein measurement (EFO_0004747)
CD244/TREML2 protein level ratio in blood	OBA_2055381	protein measurement (EFO_0004747)
CD27 antigen measurement	EFO_0008078	blood protein amount (OBA_VT0005416)
CD27/CD79B protein level ratio in blood	OBA_2055384	protein measurement (EFO_0004747)
CD27/DLL1 protein level ratio in blood	OBA_2055385	protein measurement (EFO_0004747)
CD27/FCRL5 protein level ratio in blood	OBA_2055386	protein measurement (EFO_0004747)
CD27/ICAM3 protein level ratio in blood	OBA_2055387	protein measurement (EFO_0004747)
CD27/NBL1 protein level ratio in blood	OBA_2055388	protein measurement (EFO_0004747)
CD27/NECTIN4 protein level ratio in blood	OBA_2055288	protein measurement (EFO_0004747)
CD27/TGFBR2 protein level ratio in blood	OBA_2055289	protein measurement (EFO_0004747)
CD27/TNFRSF13B protein level ratio in blood	OBA_2055290	protein measurement (EFO_0004747)
CD27/TNFRSF9 protein level ratio in blood	OBA_2055291	protein measurement (EFO_0004747)
CD274/EFNA4 protein level ratio in blood	OBA_2055382	protein measurement (EFO_0004747)
CD276/CD58 protein level ratio in blood	OBA_2055383	protein measurement (EFO_0004747)
CD2AP/CD40 protein level ratio in blood	OBA_2055292	protein measurement (EFO_0004747)
CD2AP/EIF4EBP1 protein level ratio in blood	OBA_2055293	protein measurement (EFO_0004747)
CD2AP/PLPBP protein level ratio in blood	OBA_2055294	protein measurement (EFO_0004747)
CD2AP/SNX9 protein level ratio in blood	OBA_2055295	protein measurement (EFO_0004747)
CD2AP/TRAF2 protein level ratio in blood	OBA_2055296	protein measurement (EFO_0004747)
CD2AP/USP8 protein level ratio in blood	OBA_2055297	protein measurement (EFO_0004747)
CD2AP/VSIR protein level ratio in blood	OBA_2055298	protein measurement (EFO_0004747)
CD3-positive T-lymphocyte count	EFO_0010106	lymphocyte count (EFO_0004587)
CD300C/CLEC14A protein level ratio in blood	OBA_2054150	protein measurement (EFO_0004747)
CD300C/FOLR2 protein level ratio in blood	OBA_2054151	protein measurement (EFO_0004747)
CD300C/GOLM2 protein level ratio in blood	OBA_2054152	protein measurement (EFO_0004747)
CD300C/HAVCR2 protein level ratio in blood	OBA_2054153	protein measurement (EFO_0004747)
CD300C/LRRC25 protein level ratio in blood	OBA_2054154	protein measurement (EFO_0004747)
CD300C/MANSC1 protein level ratio in blood	OBA_2054155	protein measurement (EFO_0004747)
CD300C/NBL1 protein level ratio in blood	OBA_2054156	protein measurement (EFO_0004747)
CD300E/CD300LF protein level ratio in blood	OBA_2054157	protein measurement (EFO_0004747)
CD300E/CD59 protein level ratio in blood	OBA_2054158	protein measurement (EFO_0004747)
CD300E/CLEC6A protein level ratio in blood	OBA_2054159	protein measurement (EFO_0004747)
CD300E/CXCL10 protein level ratio in blood	OBA_2054160	protein measurement (EFO_0004747)
CD300E/EFNA4 protein level ratio in blood	OBA_2054186	protein measurement (EFO_0004747)
CD300E/LILRA5 protein level ratio in blood	OBA_2054187	protein measurement (EFO_0004747)
CD300E/TNFRSF1B protein level ratio in blood	OBA_2054188	protein measurement (EFO_0004747)
CD300LG/CD93 protein level ratio in blood	OBA_2054189	protein measurement (EFO_0004747)
CD300LG/CLEC14A protein level ratio in blood	OBA_2054190	protein measurement (EFO_0004747)
CD300LG/DSG2 protein level ratio in blood	OBA_2054191	protein measurement (EFO_0004747)
CD300LG/TNFRSF1A protein level ratio in blood	OBA_2054192	protein measurement (EFO_0004747)
CD300LG/TNFRSF1B protein level ratio in blood	OBA_2054193	protein measurement (EFO_0004747)
CD302/CD99 protein level ratio in blood	OBA_2054194	protein measurement (EFO_0004747)
CD302/interleukin 12 protein level ratio in blood	OBA_2054195	protein measurement (EFO_0004747)
CD33 molecule amount	OBA_2050280	protein amount (OBA_VT0010120)
CD34/ITGAV protein level ratio in blood	OBA_2054196	protein measurement (EFO_0004747)
CD38/RELT protein level ratio in blood	OBA_2054198	protein measurement (EFO_0004747)
CD38/interleukin 12 protein level ratio in blood	OBA_2054197	protein measurement (EFO_0004747)
CD4 molecule amount	OBA_2050211	protein amount (OBA_VT0010120)
CD4-positive T-lymphocyte count	EFO_0010105	lymphocyte count (EFO_0004587)
CD4/LILRB4 protein level ratio in blood	OBA_2054232	protein measurement (EFO_0004747)
CD40 measurement	EFO_0010586	blood protein amount (OBA_VT0005416)
CD40/CD40LG protein level ratio in blood	OBA_2054199	protein measurement (EFO_0004747)
CD40/CRELD2 protein level ratio in blood	OBA_2054200	protein measurement (EFO_0004747)
CD40/F11R protein level ratio in blood	OBA_2054201	protein measurement (EFO_0004747)
CD40/FIS1 protein level ratio in blood	OBA_2054202	protein measurement (EFO_0004747)
CD40/GLOD4 protein level ratio in blood	OBA_2054203	protein measurement (EFO_0004747)
CD40/IGSF8 protein level ratio in blood	OBA_2054204	protein measurement (EFO_0004747)
CD40/ITGB5 protein level ratio in blood	OBA_2054205	protein measurement (EFO_0004747)
CD40/TIMP3 protein level ratio in blood	OBA_2054218	protein measurement (EFO_0004747)
CD40/TNFRSF14 protein level ratio in blood	OBA_2054219	protein measurement (EFO_0004747)
CD40/VSIR protein level ratio in blood	OBA_2054220	protein measurement (EFO_0004747)
CD40LG/DAB2 protein level ratio in blood	OBA_2054206	protein measurement (EFO_0004747)
CD40LG/EDAR protein level ratio in blood	OBA_2054207	protein measurement (EFO_0004747)
CD40LG/EGF protein level ratio in blood	OBA_2054208	protein measurement (EFO_0004747)
CD40LG/EREG protein level ratio in blood	OBA_2054209	protein measurement (EFO_0004747)
CD40LG/FIS1 protein level ratio in blood	OBA_2054210	protein measurement (EFO_0004747)
CD40LG/GP6 protein level ratio in blood	OBA_2054211	protein measurement (EFO_0004747)
CD40LG/LAT protein level ratio in blood	OBA_2054212	protein measurement (EFO_0004747)
CD40LG/LYN protein level ratio in blood	OBA_2054213	protein measurement (EFO_0004747)
CD40LG/MPIG6B protein level ratio in blood	OBA_2054214	protein measurement (EFO_0004747)
CD40LG/SERPINE1 protein level ratio in blood	OBA_2054215	protein measurement (EFO_0004747)
CD40LG/TNFSF14 protein level ratio in blood	OBA_2054216	protein measurement (EFO_0004747)
CD40LG/TRAF2 protein level ratio in blood	OBA_2054217	protein measurement (EFO_0004747)
CD44 antigen measurement	EFO_0802378	protein measurement (EFO_0004747)
CD46/NECTIN2 protein level ratio in blood	OBA_2054221	protein measurement (EFO_0004747)
CD46/NID1 protein level ratio in blood	OBA_2054222	protein measurement (EFO_0004747)
CD46/SELP protein level ratio in blood	OBA_2054223	protein measurement (EFO_0004747)
CD46/SIAE protein level ratio in blood	OBA_2054224	protein measurement (EFO_0004747)
CD46/THBD protein level ratio in blood	OBA_2054225	protein measurement (EFO_0004747)
CD46/TIMP1 protein level ratio in blood	OBA_2054226	protein measurement (EFO_0004747)
CD46/TNFRSF14 protein level ratio in blood	OBA_2054227	protein measurement (EFO_0004747)
CD48 antigen measurement	EFO_0020247	protein measurement (EFO_0004747)
CD48/CRTAM protein level ratio in blood	OBA_2054228	protein measurement (EFO_0004747)
CD48/FCRL6 protein level ratio in blood	OBA_2054229	protein measurement (EFO_0004747)
CD48/ITGB7 protein level ratio in blood	OBA_2054230	protein measurement (EFO_0004747)
CD48/SLAMF7 protein level ratio in blood	OBA_2054231	protein measurement (EFO_0004747)
CD5 antigen-like measurement	EFO_0020248	protein measurement (EFO_0004747)
CD5 measurement	EFO_0010773	blood protein amount (OBA_VT0005416)
CD5/CD6 protein level ratio in blood	OBA_2054174	protein measurement (EFO_0004747)
CD5/IL16 protein level ratio in blood	OBA_2054175	protein measurement (EFO_0004747)
CD5/TNFRSF9 protein level ratio in blood	OBA_2054176	protein measurement (EFO_0004747)
CD55/CDH1 protein level ratio in blood	OBA_2054233	protein measurement (EFO_0004747)
CD55/CHI3L1 protein level ratio in blood	OBA_2054234	protein measurement (EFO_0004747)
CD55/ITGB1 protein level ratio in blood	OBA_2054235	protein measurement (EFO_0004747)
CD55/PTGDS protein level ratio in blood	OBA_2054161	protein measurement (EFO_0004747)
CD56-positive NK-lymphocyte cell count	EFO_0010109	lymphocyte count (EFO_0004587)
CD58/ERBB3 protein level ratio in blood	OBA_2054162	protein measurement (EFO_0004747)
CD58/IFNGR1 protein level ratio in blood	OBA_2054163	protein measurement (EFO_0004747)
CD58/IL10RB protein level ratio in blood	OBA_2054164	protein measurement (EFO_0004747)
CD58/LTBR protein level ratio in blood	OBA_2054165	protein measurement (EFO_0004747)
CD58/MCAM protein level ratio in blood	OBA_2054166	protein measurement (EFO_0004747)
CD58/MEGF10 protein level ratio in blood	OBA_2054167	protein measurement (EFO_0004747)
CD58/ROR1 protein level ratio in blood	OBA_2054168	protein measurement (EFO_0004747)
CD58/SIRPB1 protein level ratio in blood	OBA_2054169	protein measurement (EFO_0004747)
CD58/TYRO3 protein level ratio in blood	OBA_2054170	protein measurement (EFO_0004747)
CD59 glycoprotein measurement	EFO_0021924	protein measurement (EFO_0004747)
CD59/CST6 protein level ratio in blood	OBA_2054171	protein measurement (EFO_0004747)
CD59/PI3 protein level ratio in blood	OBA_2054172	protein measurement (EFO_0004747)
CD59/SCARB2 protein level ratio in blood	OBA_2054173	protein measurement (EFO_0004747)
CD6 measurement	EFO_0010774	blood protein amount (OBA_VT0005416)
CD6/EZR protein level ratio in blood	OBA_2053361	protein measurement (EFO_0004747)
CD63 antigen measurement	EFO_0022033	protein measurement (EFO_0004747)
CD63/CLEC1B protein level ratio in blood	OBA_2054177	protein measurement (EFO_0004747)
CD63/EDAR protein level ratio in blood	OBA_2053335	protein measurement (EFO_0004747)
CD63/GLB1 protein level ratio in blood	OBA_2053336	protein measurement (EFO_0004747)
CD69/CDKN2D protein level ratio in blood	OBA_2053337	protein measurement (EFO_0004747)
CD69/CEP43 protein level ratio in blood	OBA_2053338	protein measurement (EFO_0004747)
CD69/CHMP1A protein level ratio in blood	OBA_2053339	protein measurement (EFO_0004747)
CD69/CLEC1B protein level ratio in blood	OBA_2053340	protein measurement (EFO_0004747)
CD69/CNST protein level ratio in blood	OBA_2053341	protein measurement (EFO_0004747)
CD69/CRKL protein level ratio in blood	OBA_2053342	protein measurement (EFO_0004747)
CD69/DIABLO protein level ratio in blood	OBA_2053343	protein measurement (EFO_0004747)
CD69/DNAJA2 protein level ratio in blood	OBA_2053344	protein measurement (EFO_0004747)
CD69/DOK2 protein level ratio in blood	OBA_2053345	protein measurement (EFO_0004747)
CD69/EDAR protein level ratio in blood	OBA_2053346	protein measurement (EFO_0004747)
CD69/F11R protein level ratio in blood	OBA_2053347	protein measurement (EFO_0004747)
CD69/F2R protein level ratio in blood	OBA_2053348	protein measurement (EFO_0004747)
CD69/MPIG6B protein level ratio in blood	OBA_2053349	protein measurement (EFO_0004747)
CD69/NFATC1 protein level ratio in blood	OBA_2053350	protein measurement (EFO_0004747)
CD69/PLXNA4 protein level ratio in blood	OBA_2053351	protein measurement (EFO_0004747)
CD69/PLXNB3 protein level ratio in blood	OBA_2053352	protein measurement (EFO_0004747)
CD69/PPP1R2 protein level ratio in blood	OBA_2053353	protein measurement (EFO_0004747)
CD69/PTPN6 protein level ratio in blood	OBA_2053354	protein measurement (EFO_0004747)
CD69/RHOC protein level ratio in blood	OBA_2053355	protein measurement (EFO_0004747)
CD69/SCARF1 protein level ratio in blood	OBA_2053356	protein measurement (EFO_0004747)
CD69/SNAP23 protein level ratio in blood	OBA_2053357	protein measurement (EFO_0004747)
CD69/SNAP29 protein level ratio in blood	OBA_2053358	protein measurement (EFO_0004747)
CD69/TIA1 protein level ratio in blood	OBA_2053359	protein measurement (EFO_0004747)
CD69/TXNDC5 protein level ratio in blood	OBA_2053360	protein measurement (EFO_0004747)
CD70 antigen measurement	EFO_0020249	protein measurement (EFO_0004747)
CD74/DLL1 protein level ratio in blood	OBA_2053362	protein measurement (EFO_0004747)
CD74/IL18BP protein level ratio in blood	OBA_2053363	protein measurement (EFO_0004747)
CD74/JAM2 protein level ratio in blood	OBA_2053364	protein measurement (EFO_0004747)
CD74/LILRB4 protein level ratio in blood	OBA_2053365	protein measurement (EFO_0004747)
CD74/NPDC1 protein level ratio in blood	OBA_2053366	protein measurement (EFO_0004747)
CD74/TIMD4 protein level ratio in blood	OBA_2053367	protein measurement (EFO_0004747)
CD74/TNFRSF21 protein level ratio in blood	OBA_2053368	protein measurement (EFO_0004747)
CD79B/CKAP4 protein level ratio in blood	OBA_2053369	protein measurement (EFO_0004747)
CD79B/FCRL1 protein level ratio in blood	OBA_2053370	protein measurement (EFO_0004747)
CD79B/FCRL2 protein level ratio in blood	OBA_2053371	protein measurement (EFO_0004747)
CD79B/ICAM3 protein level ratio in blood	OBA_2053372	protein measurement (EFO_0004747)
CD79B/TNFRSF13B protein level ratio in blood	OBA_2053373	protein measurement (EFO_0004747)
CD79B/TNFRSF4 protein level ratio in blood	OBA_2053374	protein measurement (EFO_0004747)
CD8-positive T-lymphocyte count	EFO_0010107	lymphocyte count (EFO_0004587)
CD80 molecule level	OBA_2045367	protein amount (OBA_VT0010120)
CD83 antigen measurement	EFO_0021983	protein measurement (EFO_0004747)
CD83/HAVCR2 protein level ratio in blood	OBA_2053375	protein measurement (EFO_0004747)
CD83/LAMP3 protein level ratio in blood	OBA_2053377	protein measurement (EFO_0004747)
CD83/TNFRSF4 protein level ratio in blood	OBA_2053378	protein measurement (EFO_0004747)
CD83/TREM2 protein level ratio in blood	OBA_2053379	protein measurement (EFO_0004747)
CD83/interleukin 12 protein level ratio in blood	OBA_2053376	protein measurement (EFO_0004747)
CD84/CDKN1A protein level ratio in blood	OBA_2053380	protein measurement (EFO_0004747)
CD84/DAG1 protein level ratio in blood	OBA_2053381	protein measurement (EFO_0004747)
CD84/DKK1 protein level ratio in blood	OBA_2053382	protein measurement (EFO_0004747)
CD84/F2R protein level ratio in blood	OBA_2053383	protein measurement (EFO_0004747)
CD84/GP1BA protein level ratio in blood	OBA_2053384	protein measurement (EFO_0004747)
CD84/GP6 protein level ratio in blood	OBA_2053385	protein measurement (EFO_0004747)
CD84/ITGA6 protein level ratio in blood	OBA_2053386	protein measurement (EFO_0004747)
CD84/SDC4 protein level ratio in blood	OBA_2053387	protein measurement (EFO_0004747)
CD84/SEMA4D protein level ratio in blood	OBA_2053388	protein measurement (EFO_0004747)
CD84/SORT1 protein level ratio in blood	OBA_2053389	protein measurement (EFO_0004747)
CD84/TREML2 protein level ratio in blood	OBA_2053390	protein measurement (EFO_0004747)
CD84/VASH1 protein level ratio in blood	OBA_2053391	protein measurement (EFO_0004747)
CD86 molecule level	OBA_2045368	protein amount (OBA_VT0010120)
CD93/CLEC14A protein level ratio in blood	OBA_2053392	protein measurement (EFO_0004747)
CD93/TNFRSF4 protein level ratio in blood	OBA_2053393	protein measurement (EFO_0004747)
CD97 antigen measurement	EFO_0020250	protein measurement (EFO_0004747)
CD99/CD99L2 protein level ratio in blood	OBA_2053394	protein measurement (EFO_0004747)
CD99/KITLG protein level ratio in blood	OBA_2053395	protein measurement (EFO_0004747)
CD99/MMP3 protein level ratio in blood	OBA_2053399	protein measurement (EFO_0004747)
CD99/PIK3IP1 protein level ratio in blood	OBA_2053400	protein measurement (EFO_0004747)
CD99/RELT protein level ratio in blood	OBA_2053401	protein measurement (EFO_0004747)
CD99L2/CPM protein level ratio in blood	OBA_2053396	protein measurement (EFO_0004747)
CD99L2/PCSK9 protein level ratio in blood	OBA_2053397	protein measurement (EFO_0004747)
CD99L2/RARRES2 protein level ratio in blood	OBA_2053398	protein measurement (EFO_0004747)
CDC27/CEP85 protein level ratio in blood	OBA_2053402	protein measurement (EFO_0004747)
CDC37/MSRA protein level ratio in blood	OBA_2053403	protein measurement (EFO_0004747)
CDC37/PLA2G4A protein level ratio in blood	OBA_2053404	protein measurement (EFO_0004747)
CDC37/PPP1R12A protein level ratio in blood	OBA_2053405	protein measurement (EFO_0004747)
CDC37/SNAP29 protein level ratio in blood	OBA_2053406	protein measurement (EFO_0004747)
CDC37/SNX9 protein level ratio in blood	OBA_2053407	protein measurement (EFO_0004747)
CDCP1/IL18BP protein level ratio in blood	OBA_2053408	protein measurement (EFO_0004747)
CDCP1/MSR1 protein level ratio in blood	OBA_2053409	protein measurement (EFO_0004747)
CDGSH iron-sulfur domain-containing protein 1 measurement	EFO_0801460	protein measurement (EFO_0004747)
CDGSH iron-sulfur domain-containing protein 2 measurement	EFO_0802379	protein measurement (EFO_0004747)
CDH1/CDH17 protein level ratio in blood	OBA_2054389	protein measurement (EFO_0004747)
CDH1/CST3 protein level ratio in blood	OBA_2054390	protein measurement (EFO_0004747)
CDH1/HSPG2 protein level ratio in blood	OBA_2054391	protein measurement (EFO_0004747)
CDH1/NPDC1 protein level ratio in blood	OBA_2054392	protein measurement (EFO_0004747)
CDH1/VASN protein level ratio in blood	OBA_2054393	protein measurement (EFO_0004747)
CDH17/DSG2 protein level ratio in blood	OBA_2053410	protein measurement (EFO_0004747)
CDH17/GALNT3 protein level ratio in blood	OBA_2053411	protein measurement (EFO_0004747)
CDH17/ITGB7 protein level ratio in blood	OBA_2053412	protein measurement (EFO_0004747)
CDH17/PECAM1 protein level ratio in blood	OBA_2053001	protein measurement (EFO_0004747)
CDH17/PTPRM protein level ratio in blood	OBA_2054387	protein measurement (EFO_0004747)
CDH17/SPINT1 protein level ratio in blood	OBA_2054388	protein measurement (EFO_0004747)
CDH2/CDHR2 protein level ratio in blood	OBA_2054394	protein measurement (EFO_0004747)
CDH2/SSC4D protein level ratio in blood	OBA_2054395	protein measurement (EFO_0004747)
CDH3/NECTIN4 protein level ratio in blood	OBA_2054396	protein measurement (EFO_0004747)
CDH3/TNFRSF21 protein level ratio in blood	OBA_2054397	protein measurement (EFO_0004747)
CDH5/ENG protein level ratio in blood	OBA_2054398	protein measurement (EFO_0004747)
CDH5/JAM2 protein level ratio in blood	OBA_2054399	protein measurement (EFO_0004747)
CDH5/LGALS4 protein level ratio in blood	OBA_2054400	protein measurement (EFO_0004747)
CDH5/NOTCH1 protein level ratio in blood	OBA_2054401	protein measurement (EFO_0004747)
CDH5/PCDH17 protein level ratio in blood	OBA_2054402	protein measurement (EFO_0004747)
CDH5/PEAR1 protein level ratio in blood	OBA_2054403	protein measurement (EFO_0004747)
CDH5/PTPRM protein level ratio in blood	OBA_2054404	protein measurement (EFO_0004747)
CDH5/TEK protein level ratio in blood	OBA_2054405	protein measurement (EFO_0004747)
CDH6/NTRK2 protein level ratio in blood	OBA_2054406	protein measurement (EFO_0004747)
CDHR2/MME protein level ratio in blood	OBA_2054407	protein measurement (EFO_0004747)
CDHR2/OXT protein level ratio in blood	OBA_2054408	protein measurement (EFO_0004747)
CDHR2/SSC4D protein level ratio in blood	OBA_2054409	protein measurement (EFO_0004747)
CDKN1A/CDKN2D protein level ratio in blood	OBA_2054410	protein measurement (EFO_0004747)
CDKN1A/DAB2 protein level ratio in blood	OBA_2055439	protein measurement (EFO_0004747)
CDKN1A/DNAJB1 protein level ratio in blood	OBA_2055440	protein measurement (EFO_0004747)
CDKN1A/ENO2 protein level ratio in blood	OBA_2055441	protein measurement (EFO_0004747)
CDKN1A/FOXO1 protein level ratio in blood	OBA_2055442	protein measurement (EFO_0004747)
CDKN1A/FXN protein level ratio in blood	OBA_2055443	protein measurement (EFO_0004747)
CDKN1A/HBEGF protein level ratio in blood	OBA_2055444	protein measurement (EFO_0004747)
CDKN1A/NCK2 protein level ratio in blood	OBA_2055445	protein measurement (EFO_0004747)
CDKN1A/PLA2G4A protein level ratio in blood	OBA_2055446	protein measurement (EFO_0004747)
CDKN1A/TACC3 protein level ratio in blood	OBA_2055447	protein measurement (EFO_0004747)
CDKN1A/TBC1D23 protein level ratio in blood	OBA_2055448	protein measurement (EFO_0004747)
CDKN1A/TBL1X protein level ratio in blood	OBA_2055449	protein measurement (EFO_0004747)
CDKN1A/TMSB10 protein level ratio in blood	OBA_2055450	protein measurement (EFO_0004747)
CDKN1A/TXLNA protein level ratio in blood	OBA_2055451	protein measurement (EFO_0004747)
CDKN1A/YES1 protein level ratio in blood	OBA_2055452	protein measurement (EFO_0004747)
CDKN2D/CHMP1A protein level ratio in blood	OBA_2055453	protein measurement (EFO_0004747)
CDKN2D/CNPY4 protein level ratio in blood	OBA_2055454	protein measurement (EFO_0004747)
CDKN2D/CRADD protein level ratio in blood	OBA_2055455	protein measurement (EFO_0004747)
CDKN2D/DAPP1 protein level ratio in blood	OBA_2055456	protein measurement (EFO_0004747)
