goiter	EFO:0004283	goiter	Disease	HP:0000853	Goiter	Phenotype
gout	EFO:0004274	gout	Disease	HP:0001997	Gout	Phenotype
hamartoma	EFO:1000634	hamartoma	Disease	HP:0010566	Hamartoma	Phenotype
homocystinuria	HP:0002156	Homocystinuria	Phenotype	MONDO:0004737	homocystinuria	Disease
hordeolum	EFO:0007315	hordeolum	Disease	HP:0010606	Hordeolum	Phenotype
hydropsfetalis	HP:0001789	Hydrops fetalis	Phenotype	MONDO:0015193	hydrops fetalis	Disease
hyperlipidemia	HP:0003077	Hyperlipidemia	Phenotype	MONDO:0021187	hyperlipidemia	Disease
hyperlipoproteinemia	HP:0010980	Hyperlipoproteinemia	Phenotype	MONDO:0037748	hyperlipoproteinemia	Disease
hyperostosis	HP:0100774	Hyperostosis	Phenotype	MONDO:0002185	hyperostosis	Disease
hyperparathyroidism	EFO:0008506	hyperparathyroidism	Disease	HP:0000843	Hyperparathyroidism	Phenotype
hyperphosphatemia	HP:0002905	Hyperphosphatemia	Phenotype	MONDO:0000328	hyperphosphatemia	Disease
hyperpigmentationoftheskin	HP:0000953	Hyperpigmentation of the skin	Phenotype	MONDO:0019289	hyperpigmentation of the skin	Disease
hyperpituitarism	EFO:1000973	hyperpituitarism	Disease	HP:0010514	Hyperpituitarism	Phenotype
hypertension	EFO:0000537	hypertension	Disease	HP:0000822	Hypertension	Phenotype
hypertrichosis	HP:0000998	Hypertrichosis	Phenotype	MONDO:0019280	hypertrichosis	Disease
hyperuricemia	EFO:0009104	hyperuricemia	Disease	HP:0002149	Hyperuricemia	Phenotype
hypochromicanemia	HP:0001931	Hypochromic anemia	Phenotype	MONDO:0001357	hypochromic anemia	Disease
hypochromicmicrocyticanemia	HP:0004840	Hypochromic microcytic anemia	Phenotype	MONDO:0000387	hypochromic microcytic anemia	Disease
hypogonadotropichypogonadism	HP:0000044	Hypogonadotropic hypogonadism	Phenotype	MONDO:0018555	hypogonadotropic hypogonadism	Disease
hypohidrosis	EFO:1000712	hypohidrosis	Disease	HP:0000966	Hypohidrosis	Phenotype
hypoparathyroidism	EFO:0009451	hypoparathyroidism	Disease	HP:0000829	Hypoparathyroidism	Phenotype
hypophosphatemia	HP:0002148	Hypophosphatemia	Phenotype	MONDO:0000313	hypophosphatemia	Disease
hypopigmentationoftheskin	HP:0001010	Hypopigmentation of the skin	Phenotype	MONDO:0019290	hypopigmentation of the skin	Disease
infectiousencephalitis	HP:0002383	Infectious encephalitis	Phenotype	MONDO:0020067	infectious encephalitis	Disease
infertility	EFO:0000545	infertility	Disease	HP:0000789	Infertility	Phenotype
iridocyclitis	HP:0001094	Iridocyclitis	Phenotype	MONDO:0004773	iridocyclitis	Disease
keratitis	EFO:0009449	keratitis	Disease	HP:0000491	Keratitis	Phenotype
lacticacidosis	EFO:1000036	lactic acidosis	Disease	HP:0003128	Lactic acidosis	Phenotype
lactoseintolerance	EFO:1000062	lactose intolerance	Disease	HP:0004789	Lactose intolerance	Phenotype
leftventricularnoncompaction	HP:0030682	Left ventricular noncompaction	Phenotype	MONDO:0018901	left ventricular noncompaction	Disease
lipodystrophy	EFO:1000727	lipodystrophy	Disease	HP:0009125	Lipodystrophy	Phenotype
lymphadenitis	HP:0002840	Lymphadenitis	Phenotype	MONDO:0002052	lymphadenitis	Disease
lymphedema	HP:0001004	Lymphedema	Phenotype	MONDO:0019297	lymphedema	Disease
maculardegeneration	EFO:0009606	macular degeneration	Disease	HP:0000608	Macular degeneration	Phenotype
megaloblasticanemia	HP:0001889	Megaloblastic anemia	Phenotype	MONDO:0001700	megaloblastic anemia	Disease
megalocornea	HP:0000485	Megalocornea	Phenotype	MONDO:0009576	megalocornea	Disease
meningitis	HP:0001287	Meningitis	Phenotype	MONDO:0021108	meningitis	Disease
metabolicacidosis	HP:0001942	Metabolic acidosis	Phenotype	MONDO:0000440	metabolic acidosis	Disease
methylmalonicacidemia	HP:0002912	Methylmalonic acidemia	Phenotype	MONDO:0002012	methylmalonic acidemia	Disease
microcephaly	HP:0000252	Microcephaly	Phenotype	MONDO:0001149	microcephaly	Disease
microcyticanemia	HP:0001935	Microcytic anemia	Phenotype	MONDO:0001245	microcytic anemia	Disease
musculardystrophy	HP:0003560	Muscular dystrophy	Phenotype	MONDO:0020121	muscular dystrophy	Disease
myelofibrosis	HP:0011974	Myelofibrosis	Phenotype	MONDO:0044903	myelofibrosis	Disease
myopathy	EFO:0004145	myopathy	Disease	HP:0003198	Myopathy	Phenotype
myopia	HP:0000545	Myopia	Phenotype	MONDO:0001384	myopia	Disease
nephrocalcinosis	HP:0000121	Nephrocalcinosis	Phenotype	MONDO:0001567	nephrocalcinosis	Disease
nephronophthisis	HP:0000090	Nephronophthisis	Phenotype	MONDO:0019005	nephronophthisis	Disease
noncompactioncardiomyopathy	EFO:0004686	non-compaction cardiomyopathy	Disease	HP:0012817	Noncompaction cardiomyopathy	Phenotype
obesity	EFO:0001073	obesity	Disease	HP:0001513	Obesity	Phenotype
opticatrophy	HP:0000648	Optic atrophy	Phenotype	MONDO:0003608	optic atrophy	Disease
orofacialcleft	HP:0000202	Orofacial cleft	Phenotype	MONDO:0000358	orofacial cleft	Disease
osteochondritisdissecans	HP:0010886	Osteochondritis dissecans	Phenotype	MONDO:0017178	osteochondritis dissecans	Disease
osteopetrosis	HP:0011002	Osteopetrosis	Phenotype	MONDO:0017198	osteopetrosis	Disease
osteoporosis	EFO:0003882	osteoporosis	Disease	HP:0000939	Osteoporosis	Phenotype
pancreatitis	EFO:0000278	pancreatitis	Disease	HP:0001733	Pancreatitis	Phenotype
paraplegia	EFO:0009679	paraplegia	Disease	HP:0010550	Paraplegia	Phenotype
pericardialeffusion	HP:0001698	Pericardial effusion	Phenotype	MONDO:0001370	pericardial effusion	Disease
periostitis	HP:0040165	Periostitis	Phenotype	MONDO:0004934	periostitis	Disease
