?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2053285>	"BIN2/SNAP29 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_VT0003769>	"lip morphology trait"	"http://purl.obolibrary.org/obo/OBA_VT0000452 http://purl.obolibrary.org/obo/OBA_VT0003743"	"mouth morphology trait facial morphology trait"
<http://purl.obolibrary.org/obo/OBA_2054985>	"CLEC1B/DIABLO protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2042776>	"level of histone acetyltransferase KAT2B in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043837>	"level of homeobox protein TGIF2LY in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051875>	"level of uridylate-specific endoribonuclease in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052725>	"amount of tumor necrosis factor ligand superfamily member 13 isoforms alpha/beta/gamma/4/5 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2051941"	"level of tumor necrosis factor ligand superfamily member 13 (human) in blood"
<http://purl.obolibrary.org/obo/OBA_2042707>	"level of olfactory marker protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050799"	"level of olfactory marker protein in blood"
<http://purl.obolibrary.org/obo/OBA_2055578>	"CHMP1A/SNAP23 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2052710>	"amount of peroxisomal acyl-coenzyme A oxidase 1 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2050471"	"level of peroxisomal acyl-coenzyme A oxidase 1 in blood"
<http://purl.obolibrary.org/obo/OBA_2042314>	"level of guanine nucleotide exchange factor DBS in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051830>	"level of tubulinyl-Tyr carboxypeptidase 1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050289>	"tumor necrosis factor receptor superfamily member EDAR amount"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2055470>	"ITGB1BP2/PLXNA4 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2050845>	"level of cAMP-dependent protein kinase type I-alpha regulatory subunit in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2055097>	"CXCL3/MGLL protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2054641>	"MSRA/TJAP1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2050034>	"amygdala volume"	"http://www.ebi.ac.uk/efo/EFO_0001444"	"measurement"
<http://purl.obolibrary.org/obo/OBA_2051223>	"level of apolipoprotein B receptor in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044751>	"level of GTPase IMAP family member 6 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2053359>	"CD69/TIA1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2044513>	"level of regulation of nuclear pre-mRNA domain-containing protein 1B in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2055030>	"CLEC1B/SORT1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2043070>	"level of proteasome subunit beta type-5 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2054110>	"ATOX1/CIAPIN1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2042427>	"level of 39S ribosomal protein L28, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2054551>	"MPI/TACC3 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2053763>	"FURIN/VWA1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2054816>	"CA3/HMBS protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2051200>	"level of a disintegrin and metalloproteinase with thrombospondin motifs 8 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051535>	"level of myeloid cell nuclear differentiation antigen in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2053355>	"CD69/RHOC protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2051669>	"level of RNA-binding protein Raly in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2053900>	"MAVS/PTPN1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
