Old IRI	New IRI
http://purl.obolibrary.org/obo/PR_000000001	http://purl.obolibrary.org/obo/CHEBI_36080
http://purl.obolibrary.org/obo/PR_000024938	http://www.ebi.ac.uk/efo/EFO_0003021
