?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2043265>	"level of Rho-related GTP-binding protein RhoC in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050873"	"level of Rho-related GTP-binding protein RhoC in blood"
<http://purl.obolibrary.org/obo/OBA_2044756>	"level of CUE domain-containing protein 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051811>	"level of tripartite motif-containing protein 5 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051763>	"level of protein sprouty homolog 2 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041108>	"level of cytochrome c oxidase subunit 5B, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043719>	"level of syntaxin-binding protein 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050936"	"level of syntaxin-binding protein 4 in blood"
<http://purl.obolibrary.org/obo/OBA_2051539>	"level of large ribosomal subunit protein uL24m in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050953>	"level of thyrotroph embryonic factor in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044141>	"level of protein Wnt-5a in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052838>	"amount of methylated-DNA--protein-cysteine methyltransferase (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044462>	"level of fibronectin type III domain-containing protein 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2051030"	"level of fibronectin type III domain-containing protein 4 in blood"
<http://purl.obolibrary.org/obo/OBA_2043963>	"level of twinfilin-2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040403>	"level of occludin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050456"	"level of occludin in blood"
<http://purl.obolibrary.org/obo/OBA_2052393>	"amount of promotilin (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2050754"	"level of promotilin in blood"
<http://purl.obolibrary.org/obo/OBA_2043546>	"level of slit homolog 3 protein in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044772>	"level of BTB/POZ domain-containing protein KCTD17 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052178>	"amount of disintegrin and metalloproteinase domain-containing protein 22 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2050477"	"level of disintegrin and metalloproteinase domain-containing protein 22 in blood"
<http://purl.obolibrary.org/obo/OBA_2041191>	"level of chymotrypsinogen B in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051143>	"level of CD69 molecule in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043215>	"level of RNA-binding protein with multiple splicing 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050868"	"level of RNA-binding protein with multiple splicing 2 in blood"
<http://purl.obolibrary.org/obo/OBA_2050576>	"level of oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042152>	"level of KIF-binding protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050725"	"level of KIF-binding protein in blood"
<http://purl.obolibrary.org/obo/OBA_2051196>	"level of actin, aortic smooth muscle in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043604>	"level of transcription factor SOX-9 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050919"	"level of transcription factor SOX-9 in blood"
<http://purl.obolibrary.org/obo/OBA_2052553>	"amount of apolipoprotein M (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052865>	"amount of signal-regulatory protein beta-1 isoforms 1/2 (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041414>	"level of endothelin-2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041711>	"level of geranylgeranyl pyrophosphate synthase in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040432>	"level of NF-kappa-B inhibitor alpha in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051729>	"level of pulmonary surfactant-associated protein A2 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044739>	"level of MANSC domain-containing protein 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044439>	"level of protein FAM171A1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043105>	"level of receptor-type tyrosine-protein phosphatase delta in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042235>	"level of low-density lipoprotein receptor-related protein 6 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043293>	"level of E3 ubiquitin-protein ligase RNF149 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040466>	"level of 3-ketoacyl-CoA thiolase, peroxisomal in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050467"	"level of 3-ketoacyl-CoA thiolase, peroxisomal in blood"
<http://purl.obolibrary.org/obo/OBA_2040605>	"level of retina-specific copper amine oxidase in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044250>	"level of palmitoyl-protein thioesterase ABHD10, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044389>	"level of protein phosphatase 1 regulatory subunit 3G in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051982>	"amount of tubulinyl-Tyr carboxypeptidase 1 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2051830"	"level of tubulinyl-Tyr carboxypeptidase 1 in blood"
<http://purl.obolibrary.org/obo/OBA_2044515>	"level of leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041259>	"level of ATP-dependent RNA helicase DDX19A in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051825>	"level of ubiquitin/ISG15-conjugating enzyme E2 L6 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044586>	"level of NudC domain-containing protein 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041861>	"level of transcription factor HES-3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040651>	"level of Rho GTPase-activating protein 25 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050705>	"level of integrin alpha-11 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
