?child	?label
<http://www.ebi.ac.uk/efo/EFO_0008004>	"resting metabolic rate measurement"
<http://www.ebi.ac.uk/efo/EFO_0007777>	"base metabolic rate measurement"
<http://www.ebi.ac.uk/efo/EFO_0007635>	"concentration dose ratio"
<http://www.ebi.ac.uk/efo/EFO_0005189>	"respiratory quotient"
<http://www.ebi.ac.uk/efo/EFO_0004802>	"family size"
<http://www.ebi.ac.uk/efo/EFO_0007010>	"drug use measurement"
<http://www.ebi.ac.uk/efo/EFO_0021489>	"treprostinil dose measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009940>	"Antidepressant use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009932>	"HMG CoA reductase inhibitor use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009937>	"Opioid use measurement"
<http://www.ebi.ac.uk/efo/EFO_0010140>	"opioid overdose severity measurement"
<http://www.ebi.ac.uk/efo/EFO_0009929>	"Beta blocking agent use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009934>	"Immunosuppressant use measurement"
<http://www.ebi.ac.uk/efo/EFO_0007012>	"NSAID use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009935>	"Non-steroidal anti-inflammatory and antirheumatic product use measurement"
<http://www.ebi.ac.uk/efo/EFO_0007013>	"aspirin use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009942>	"Glucocorticoid use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009939>	"Antimigraine preparation use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009925>	"Antithrombotic agent use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009930>	"Calcium channel blocker use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009927>	"Antihypertensive use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009933>	"Thyroid preparation use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009926>	"Vasodilators used in cardiac diseases use measurement"
<http://www.ebi.ac.uk/efo/EFO_0010553>	"cocaine use measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0007907>	"methadone dose measurement"
<http://www.ebi.ac.uk/efo/EFO_0803367>	"antihyperlipidemic drug use measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009923>	"Peptic ulcer and gastro-oesophageal reflux disease (GORD) drug use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009931>	"Agents acting on the renin-angiotensin system use measurement"
<http://www.ebi.ac.uk/efo/EFO_0007792>	"antipsychotic drug use measurement"
