?child	?label
<http://www.ebi.ac.uk/efo/EFO_1000491>	"Primary Effusion Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0017346>	"Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly"
<http://www.ebi.ac.uk/efo/EFO_1000490>	"Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type"
<http://www.ebi.ac.uk/efo/EFO_1000144>	"Breast Diffuse Large B-Cell Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1001469>	"Mantle cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000549>	"Splenic Mantle Cell Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0006475>	"plasma cell leukemia"
<http://purl.obolibrary.org/obo/MONDO_0017594>	"indolent B-cell non-Hodgkin lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0018906>	"follicular lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0015819>	"indolent primary cutaneous B-cell lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0015813>	"primary cutaneous marginal zone B-cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0000095>	"chronic lymphocytic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1000956>	"hairy cell leukemia"
<http://purl.obolibrary.org/obo/MONDO_0004110>	"refractory hairy cell leukemia"
<http://www.ebi.ac.uk/efo/EFO_0009441>	"Waldenstrom macroglobulinemia"
<http://purl.obolibrary.org/obo/MONDO_0044887>	"central nervous system non-hodgkin lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000156>	"Central Nervous System Anaplastic Large Cell Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0000094>	"B-cell acute lymphoblastic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0600030>	"B-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)"
<http://purl.obolibrary.org/obo/MONDO_0015760>	"T-cell non-Hodgkin lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0019474>	"hepatosplenic T-cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0010580>	"blastic plasmacytoid dendritic cell neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0019471>	"adult T-cell leukemia/lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0022517>	"NK-92"@en
<http://purl.obolibrary.org/obo/MONDO_0015758>	"primary cutaneous T-cell lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0015816>	"indolent primary cutaneous T-cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000552>	"Subcutaneous Panniculitis-Like T-Cell Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0015821>	"mycosis fungoides and variants"
<http://www.ebi.ac.uk/efo/EFO_1001051>	"mycosis fungoides"
<http://purl.obolibrary.org/obo/MONDO_0000430>	"mature T-cell and NK-cell non-Hodgkin lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0019470>	"aggressive NK-cell leukemia"
<http://www.ebi.ac.uk/efo/EFO_0003032>	"anaplastic large cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000083>	"Anaplastic Large Cell Lymphoma, ALK-Negative"
<http://purl.obolibrary.org/obo/MONDO_0019469>	"T-cell large granular lymphocyte leukemia"
<http://www.ebi.ac.uk/efo/EFO_1000560>	"T-Cell Prolymphocytic Leukemia"
<http://www.ebi.ac.uk/efo/EFO_0000255>	"angioimmunoblastic T-cell lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0019473>	"enteropathy-associated T-cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0000220>	"acute lymphoblastic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1001830>	"precursor T-cell lymphoblastic leukemia-lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0000870>	"childhood acute lymphoblastic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1001947>	"childhood T acute lymphoblastic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0001023>	"prolymphocytic leukemia"
<http://www.ebi.ac.uk/efo/EFO_0022550>	"NKL"@en
<http://www.ebi.ac.uk/efo/EFO_1000828>	"B- and T-cell mixed leukemia"
<http://www.ebi.ac.uk/efo/EFO_0000209>	"T-cell acute lymphoblastic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0100291>	"early T cell progenitor acute lymphoblastic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0003541>	"adult acute lymphoblastic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1001936>	"adult T acute lymphoblastic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0020646>	"ocular adnexal lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0003917>	"heart lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0019472>	"extranodal nasal NK/T cell lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001499>	"retroperitoneal lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0003659>	"pediatric lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001381>	"bladder lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001130>	"nasal cavity lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0003660>	"adult lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004021>	"mediastinal malignant lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000054>	"thymic lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004034>	"eye lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004349>	"retina lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0017907>	"primary lymphoma of the conjunctiva"
<http://www.ebi.ac.uk/efo/EFO_0000211>	"unspecified peripheral T-cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000077>	"AIDS-Related Primary Central Nervous System Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001417>	"tracheal lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004095>	"B-cell neoplasm"
<http://www.ebi.ac.uk/efo/EFO_0000096>	"neoplasm of mature B-cells"
<http://www.ebi.ac.uk/efo/EFO_0000200>	"plasma cell neoplasm"
<http://www.ebi.ac.uk/efo/EFO_1001341>	"Heavy Chain Disease"
<http://www.ebi.ac.uk/efo/EFO_0006738>	"plasmacytoma"
<http://purl.obolibrary.org/obo/MONDO_0004816>	"refractory plasma cell neoplasm"
<http://www.ebi.ac.uk/efo/EFO_1001014>	"leukemoid reaction"
<http://www.ebi.ac.uk/efo/EFO_0001378>	"multiple myeloma"
<http://www.ebi.ac.uk/efo/EFO_0003073>	"asymptomatic myeloma"
<http://www.ebi.ac.uk/efo/EFO_1000157>	"Central Nervous System Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001892>	"spinal cord lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0000432>	"lymphoplasmacytic lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0002227>	"ovarian lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0003661>	"breast lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1001350>	"Immunoblastic Lymphadenopathy"
<http://purl.obolibrary.org/obo/MONDO_0017207>	"primary organ-specific lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0017814>	"primary bone lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001743>	"paranasal sinus lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0019962>	"thyroid lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0018898>	"primary cutaneous lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0015820>	"primary cutaneous B-cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0002913>	"Cutaneous T-cell lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001977>	"ureteral lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0007215>	"composite lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0000183>	"Hodgkins lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0009348>	"classic Hodgkin lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1002031>	"Hodgkins lymphoma, mixed cellularity"
<http://www.ebi.ac.uk/efo/EFO_0004708>	"nodular sclerosis Hodgkin lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000548>	"Splenic Hodgkin Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000297>	"Histiocytic and Dendritic Cell Neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0019479>	"histiocytic sarcoma"
<http://purl.obolibrary.org/obo/MONDO_0020082>	"dendritic cell tumor"
<http://purl.obolibrary.org/obo/MONDO_0004380>	"dendritic cell sarcoma"
<http://www.ebi.ac.uk/efo/EFO_0007329>	"interdigitating dendritic cell sarcoma"
<http://www.ebi.ac.uk/efo/EFO_0007336>	"Langerhans cell sarcoma"
<http://www.ebi.ac.uk/efo/EFO_0007276>	"follicular dendritic cell sarcoma"
<http://www.ebi.ac.uk/efo/EFO_1000318>	"Langerhans Cell Histiocytosis"
<http://www.ebi.ac.uk/efo/EFO_0005287>	"reticulum cell sarcoma"
<http://www.ebi.ac.uk/efo/EFO_0021520>	"histiocytic neoplasm"@en
<http://purl.obolibrary.org/obo/MONDO_0024339>	"lymph node neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0021443>	"benign neoplasm of lymph node"
<http://purl.obolibrary.org/obo/MONDO_0004528>	"lymph node palisaded myofibroblastoma"
<http://purl.obolibrary.org/obo/MONDO_0001082>	"lymph node cancer"
<http://purl.obolibrary.org/obo/MONDO_0000715>	"lymph node adenoid cystic carcinoma"
<http://www.ebi.ac.uk/efo/EFO_0004906>	"lymph node metastatic carcinoma"
<http://purl.obolibrary.org/obo/MONDO_0005374>	"bone marrow neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0021138>	"bone marrow cancer"
<http://www.ebi.ac.uk/efo/EFO_0002428>	"chronic myeloproliferative disorder"
<http://www.ebi.ac.uk/efo/EFO_1000388>	"Myelodysplastic/Myeloproliferative Neoplasm"
<http://www.ebi.ac.uk/efo/EFO_1001779>	"chronic myelomonocytic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1000309>	"Juvenile Myelomonocytic Leukemia"
<http://purl.obolibrary.org/obo/MONDO_0004653>	"atypical chronic myeloid leukemia, BCR-ABL1 negative"
<http://purl.obolibrary.org/obo/MONDO_0004643>	"myeloid leukemia"
<http://www.ebi.ac.uk/efo/EFO_0000222>	"acute myeloid leukemia"
<http://purl.obolibrary.org/obo/MONDO_0100407>	"acute myeloid leukemia, t(11;15)(p15;q35)"
<http://purl.obolibrary.org/obo/MONDO_0100424>	"acute myeloid leukemia, NRAS gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100395>	"acute myeloid leukemia, t(5;11)(q35;p15)"
<http://purl.obolibrary.org/obo/MONDO_0015667>	"acute myeloid leukemia by FAB classification"
<http://www.ebi.ac.uk/efo/EFO_0003026>	"minimally differentiated acute myeloblastic leukemia"
<http://www.ebi.ac.uk/efo/EFO_0003029>	"acute basophilic leukemia"
<http://www.ebi.ac.uk/efo/EFO_0003025>	"acute megakaryoblastic leukaemia"
<http://purl.obolibrary.org/obo/MONDO_0020526>	"acute megakaryoblastic leukemia in down syndrome"
<http://www.ebi.ac.uk/efo/EFO_1001932>	"adult acute megakaryoblastic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1001943>	"childhood acute megakaryoblastic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0018004>	"acute megakaryoblastic leukemia without down syndrome"
<http://www.ebi.ac.uk/efo/EFO_0003028>	"acute myeloblastic leukemia with maturation"
<http://www.ebi.ac.uk/efo/EFO_1001945>	"childhood acute myeloid leukemia with maturation"
<http://purl.obolibrary.org/obo/MONDO_0019455>	"acute panmyelosis with myelofibrosis"
<http://www.ebi.ac.uk/efo/EFO_0000223>	"acute myelomonocytic leukemia"
<http://www.ebi.ac.uk/efo/EFO_0003027>	"acute myeloblastic leukemia without maturation"
<http://www.ebi.ac.uk/efo/EFO_0000218>	"acute erythroleukemia"
<http://www.ebi.ac.uk/efo/EFO_1001955>	"erythroleukemia"
<http://www.ebi.ac.uk/efo/EFO_1001052>	"myeloid sarcoma"
<http://www.ebi.ac.uk/efo/EFO_1000286>	"Granulocytic Sarcoma"
<http://purl.obolibrary.org/obo/MONDO_0100413>	"acute myeloid leukemia, biallelic CEBPA gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100401>	"acute myeloid leukemia, del(5q31-q32)"
<http://purl.obolibrary.org/obo/MONDO_0100399>	"acute myeloid leukemia, t(3;3)(q21.3;q26.2)"
<http://purl.obolibrary.org/obo/MONDO_0017893>	"inherited acute myeloid leukemia"
<http://purl.obolibrary.org/obo/MONDO_0100378>	"acute myeloid leukemia, t(10;11)(p11.2;q23)"
<http://purl.obolibrary.org/obo/MONDO_0100418>	"acute myeloid leukemia, KIT exon 17 mutation"
<http://purl.obolibrary.org/obo/MONDO_0100405>	"acute myeloid leukemia, Non-KMT2A MLLT10 rearrangement positive"
<http://purl.obolibrary.org/obo/MONDO_0100390>	"acute myeloid leukemia, der12p"
<http://purl.obolibrary.org/obo/MONDO_0100376>	"acute myeloid leukemia, t(9;11)(p21.3;q23.3)"
<http://purl.obolibrary.org/obo/MONDO_0100422>	"acute myeloid leukemia, RUNX1 gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100402>	"acute myeloid leukemia, del(13q14-q21)"
