?child	?label
<http://purl.obolibrary.org/obo/CL_0000966>	"Bm4 B cell"
<http://purl.obolibrary.org/obo/CL_0000965>	"Bm3 B cell"
<http://purl.obolibrary.org/obo/CL_0000964>	"Bm2' B cell"
<http://purl.obolibrary.org/obo/CL_0000963>	"Bm3-delta B cell"
<http://purl.obolibrary.org/obo/CL_0000787>	"memory B cell"
<http://purl.obolibrary.org/obo/CL_0000981>	"double negative memory B cell"
<http://purl.obolibrary.org/obo/CL_0002104>	"IgG-negative double negative memory B cell"
<http://purl.obolibrary.org/obo/CL_0002103>	"IgG-positive double negative memory B cell"
<http://purl.obolibrary.org/obo/CL_0000972>	"class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002117>	"IgG-negative class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002119>	"CD38-positive IgG-negative class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002122>	"B220-positive CD38-positive IgG-negative class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002123>	"B220-low CD38-positive IgG-negative class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002118>	"CD38-negative IgG-negative class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002121>	"CD24-negative CD38-negative IgG-negative class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002120>	"CD24-positive CD38-negative IgG-negative class switched memory B cell"
<http://purl.obolibrary.org/obo/CL_0000979>	"IgG memory B cell"
<http://purl.obolibrary.org/obo/CL_0002108>	"CD38-negative IgG memory B cell"
<http://purl.obolibrary.org/obo/CL_0002105>	"CD38-positive IgG memory B cell"
<http://purl.obolibrary.org/obo/CL_0002107>	"IgD-negative CD38-positive IgG memory B cell"
<http://purl.obolibrary.org/obo/CL_0002106>	"IgD-positive CD38-positive IgG memory B cell"
<http://purl.obolibrary.org/obo/CL_0000973>	"IgA memory B cell"
<http://purl.obolibrary.org/obo/CL_0000948>	"IgE memory B cell"
<http://purl.obolibrary.org/obo/CL_0000971>	"IgM memory B cell"
<http://purl.obolibrary.org/obo/CL_0000970>	"unswitched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002114>	"CD38-positive unswitched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002115>	"B220-positive CD38-positive unswitched memory B cell"
<http://purl.obolibrary.org/obo/CL_0002116>	"B220-low CD38-positive unswitched memory B cell"
