?child	?label
<http://purl.obolibrary.org/obo/CL_0002029>	"Fc-epsilon RIalpha-low mast cell progenitor"
<http://purl.obolibrary.org/obo/CL_0000838>	"lymphoid lineage restricted progenitor cell"
<http://purl.obolibrary.org/obo/CL_0000827>	"pro-T cell"
<http://purl.obolibrary.org/obo/CL_0002425>	"early T lineage precursor"
<http://purl.obolibrary.org/obo/CL_0000894>	"DN1 thymic pro-T cell"
<http://purl.obolibrary.org/obo/CL_0000826>	"pro-B cell"
<http://purl.obolibrary.org/obo/CL_0002046>	"early pro-B cell"
<http://purl.obolibrary.org/obo/CL_0002045>	"fraction A pre-pro B cell"
<http://purl.obolibrary.org/obo/CL_0000825>	"pro-NK cell"
<http://purl.obolibrary.org/obo/BTO_0000583>	"bone marrow cancer cell"
<http://purl.obolibrary.org/obo/CL_0000763>	"myeloid cell"
<http://purl.obolibrary.org/obo/CL_0000762>	"nucleated thrombocyte"
<http://purl.obolibrary.org/obo/CL_0002009>	"macrophage dendritic cell progenitor"
<http://purl.obolibrary.org/obo/CL_0002011>	"Kit-positive macrophage dendritic cell progenitor"
<http://purl.obolibrary.org/obo/CL_0000764>	"erythroid lineage cell"
<http://purl.obolibrary.org/obo/CL_0000232>	"erythrocyte"
<http://purl.obolibrary.org/obo/CL_0000595>	"enucleate erythrocyte"
<http://purl.obolibrary.org/obo/CL_0002357>	"fetal derived definitive erythrocyte"
<http://purl.obolibrary.org/obo/CL_0002155>	"echinocyte"
<http://purl.obolibrary.org/obo/CL_0002022>	"Ly-76 high positive erythrocyte"
<http://purl.obolibrary.org/obo/CL_0002021>	"GlyA-positive erythrocyte"
<http://purl.obolibrary.org/obo/CL_0000562>	"nucleate erythrocyte"
<http://purl.obolibrary.org/obo/CL_0002417>	"primitive erythroid lineage cell"
<http://purl.obolibrary.org/obo/CL_0002361>	"primitive erythroid progenitor"
<http://purl.obolibrary.org/obo/CL_0002358>	"pyrenocyte"
<http://purl.obolibrary.org/obo/CL_0002356>	"primitive reticulocyte"
<http://purl.obolibrary.org/obo/CL_0002355>	"primitive red blood cell"
<http://purl.obolibrary.org/obo/CL_0000558>	"reticulocyte"
<http://purl.obolibrary.org/obo/CL_0002422>	"enucleated reticulocyte"
<http://purl.obolibrary.org/obo/CL_0002020>	"GlyA-positive reticulocytes"
<http://purl.obolibrary.org/obo/CL_0002019>	"Ly-76 high reticulocyte"
<http://purl.obolibrary.org/obo/CL_0002421>	"nucleated reticulocyte"
<http://purl.obolibrary.org/obo/CL_0000765>	"erythroblast"
<http://purl.obolibrary.org/obo/CL_0000552>	"orthochromatic erythroblast"
<http://purl.obolibrary.org/obo/CL_0002018>	"CD71-negative, GlyA-positive orthochromatic erythroblast"
<http://purl.obolibrary.org/obo/CL_0002017>	"Kit-negative, Ly-76 high orthochromatophilic erythroblasts"
<http://purl.obolibrary.org/obo/CL_0000550>	"polychromatophilic erythroblast"
