?child	?label
<http://www.ebi.ac.uk/efo/EFO_0005323>	"post-operative sign or symptom"
<http://www.ebi.ac.uk/efo/EFO_0009956>	"post-operative stroke"
<http://www.ebi.ac.uk/efo/EFO_0009955>	"post-operative acute kidney injury"
<http://www.ebi.ac.uk/efo/EFO_0009954>	"post-operative delirium"
<http://www.ebi.ac.uk/efo/EFO_0009953>	"post-operative myocardial infarction"
<http://www.ebi.ac.uk/efo/EFO_0009952>	"post-operative atrial fibrillation"
<http://www.ebi.ac.uk/efo/EFO_0005324>	"post-operative sensory disturbance"
<http://www.ebi.ac.uk/efo/EFO_0004888>	"post operative nausea and vomiting"
<http://www.ebi.ac.uk/efo/EFO_0003822>	"hyperemia"
<http://www.ebi.ac.uk/efo/EFO_0009727>	"shortness of breath"
<http://www.ebi.ac.uk/efo/EFO_0005756>	"skin wound"
<http://www.ebi.ac.uk/efo/EFO_0008008>	"lower urinary tract symptom"
<http://www.ebi.ac.uk/efo/EFO_0010683>	"localized superficial swelling, mass, or lump"
<http://www.ebi.ac.uk/efo/EFO_0010678>	"eye discharge"
<http://www.ebi.ac.uk/efo/EFO_0010670>	"abnormal chest sounds"
<http://www.ebi.ac.uk/efo/EFO_0009838>	"alteration in respiration"
<http://www.ebi.ac.uk/efo/EFO_0009842>	"respiratory depression"
<http://www.ebi.ac.uk/efo/EFO_0009841>	"irregular respiration"
<http://www.ebi.ac.uk/efo/EFO_0009840>	"tachypnea"
<http://www.ebi.ac.uk/efo/EFO_0009839>	"bradypnea"
<http://www.ebi.ac.uk/efo/EFO_0009825>	"sign or symptom concerning food and fluid intake"
<http://www.ebi.ac.uk/efo/EFO_0009641>	"malaise"
<http://www.ebi.ac.uk/efo/EFO_0006801>	"Alzheimer's disease neuropathologic change"
<http://www.ebi.ac.uk/efo/EFO_0009844>	"nightmare"
<http://www.ebi.ac.uk/efo/EFO_0007686>	"surgical shock"
<http://www.ebi.ac.uk/efo/EFO_0009846>	"muscle cramp"
<http://www.ebi.ac.uk/efo/EFO_0006818>	"stricture"
<http://www.ebi.ac.uk/efo/EFO_0007051>	"vein graft stenosis"
<http://purl.obolibrary.org/obo/HP_0002043>	"Esophageal stricture"
<http://www.ebi.ac.uk/efo/EFO_0007625>	"asthenia"
<http://www.ebi.ac.uk/efo/EFO_0006887>	"radiologic finding"
<http://www.ebi.ac.uk/efo/EFO_0020898>	"skeletal age"@en
<http://www.ebi.ac.uk/efo/EFO_0009848>	"antiemetic effect"
<http://www.ebi.ac.uk/efo/EFO_0003930>	"menarche"
<http://www.ebi.ac.uk/efo/EFO_0009427>	"embryonic lethality"
<http://www.ebi.ac.uk/efo/EFO_0006836>	"rapid kidney function decline"
<http://www.ebi.ac.uk/efo/EFO_0003949>	"eye color"
<http://purl.obolibrary.org/obo/HP_0000118>	"Phenotypic abnormality"
<http://purl.obolibrary.org/obo/HP_0001574>	"Abnormality of the integument"
<http://purl.obolibrary.org/obo/HP_0002221>	"Absent axillary hair"
<http://purl.obolibrary.org/obo/HP_0000970>	"Anhidrosis"
<http://purl.obolibrary.org/obo/HP_0001007>	"Hirsutism"
<http://purl.obolibrary.org/obo/HP_0000998>	"Hypertrichosis"
<http://purl.obolibrary.org/obo/HP_0011913>	"Lumbar hypertrichosis"
<http://purl.obolibrary.org/obo/HP_0004532>	"Sacral hypertrichosis"
<http://purl.obolibrary.org/obo/HP_0000664>	"Synophrys"
<http://purl.obolibrary.org/obo/HP_0002208>	"Coarse hair"
<http://purl.obolibrary.org/obo/HP_0000975>	"Hyperhidrosis"
<http://purl.obolibrary.org/obo/HP_0007410>	"Palmoplantar hyperhidrosis"
