?child	?label
<http://www.ebi.ac.uk/efo/EFO_0003738>	"RNA-seq of coding RNA"
<http://www.ebi.ac.uk/efo/EFO_0005684>	"RNA-seq of coding RNA from single cells"
<http://www.ebi.ac.uk/efo/EFO_0003737>	"RNA-seq of non coding RNA"
<http://www.ebi.ac.uk/efo/EFO_0005685>	"RNA-seq of non coding RNA from single cells"
<http://www.ebi.ac.uk/efo/EFO_0002896>	"microRNA profiling by high throughput sequencing"
<http://www.ebi.ac.uk/efo/EFO_0009977>	"sci-Hi-C"
<http://www.ebi.ac.uk/efo/EFO_0008896>	"RNA-Seq"
<http://www.ebi.ac.uk/efo/EFO_0009979>	"single cell Hi-C"
<http://www.ebi.ac.uk/efo/EFO_0009973>	"CUT&RUN"
<http://www.ebi.ac.uk/efo/EFO_0030005>	"spatial transcriptomics by high-throughput sequencing"
<http://www.ebi.ac.uk/efo/EFO_0030062>	"Slide-seqV2"
<http://www.ebi.ac.uk/efo/EFO_0030029>	"NanoString digital spatial profiling"
<http://www.ebi.ac.uk/efo/EFO_0010961>	"Visium Spatial Gene Expression"
<http://www.ebi.ac.uk/efo/EFO_0022858>	"Visium CytAssist Spatial Gene Expression V2"@en
<http://www.ebi.ac.uk/efo/EFO_0022860>	"Visium CytAssist Spatial Gene Expression, 11mm"@en
<http://www.ebi.ac.uk/efo/EFO_0022859>	"Visium CytAssist Spatial Gene Expression, 6.5mm"@en
<http://www.ebi.ac.uk/efo/EFO_0022857>	"Visium Spatial Gene Expression V1"@en
<http://www.ebi.ac.uk/efo/EFO_0009920>	"Slide-seq"
<http://www.ebi.ac.uk/efo/EFO_0009976>	"DNase Hi-C"
<http://www.ebi.ac.uk/efo/EFO_0009971>	"TSA-seq"
<http://www.ebi.ac.uk/efo/EFO_0009975>	"dilution HiC"
<http://www.ebi.ac.uk/efo/EFO_0009982>	"Trac-Loop"
<http://www.ebi.ac.uk/efo/EFO_0009984>	"SPRITE"
<http://www.ebi.ac.uk/efo/EFO_0009986>	"RNA-DNA SPRITE"
<http://www.ebi.ac.uk/efo/EFO_0009985>	"DNA SPRITE"
<http://www.ebi.ac.uk/efo/EFO_0009987>	"GAM"
<http://www.ebi.ac.uk/efo/EFO_0009978>	"sn-Hi-C"
<http://www.ebi.ac.uk/efo/EFO_0003749>	"MeDIP-seq"
<http://www.ebi.ac.uk/efo/EFO_0009972>	"NAD-seq"
<http://www.ebi.ac.uk/efo/EFO_0005396>	"exome sequencing"
<http://www.ebi.ac.uk/efo/EFO_0003751>	"MNase-seq"
<http://www.ebi.ac.uk/efo/EFO_0003745>	"random chromosome sequencing"
<http://www.ebi.ac.uk/efo/EFO_0003754>	"EST sequencing"
<http://www.ebi.ac.uk/efo/EFO_0007692>	"5C"
<http://www.ebi.ac.uk/efo/EFO_0003742>	"clone by clone sequencing"
<http://www.ebi.ac.uk/efo/EFO_0005227>	"GRO-seq"
<http://www.ebi.ac.uk/efo/EFO_0003748>	"MRE-seq"
<http://www.ebi.ac.uk/efo/EFO_0005016>	"454 Sequencing"
<http://www.ebi.ac.uk/efo/EFO_0004162>	"CTS (Concatenated Tag Sequencing)"
<http://www.ebi.ac.uk/efo/EFO_0003753>	"Bisulfite-seq"
<http://www.ebi.ac.uk/efo/EFO_0009966>	"assay by long read sequencer"
<http://www.ebi.ac.uk/efo/EFO_0003747>	"amplicon sequencing"
<http://www.ebi.ac.uk/efo/EFO_0030055>	"16S metagenomic sequencing"
<http://www.ebi.ac.uk/efo/EFO_0030034>	"shRNA-seq"
<http://www.ebi.ac.uk/efo/EFO_0030033>	"gRNA-seq"
<http://www.ebi.ac.uk/efo/EFO_0021526>	"4C-seq"@en
<http://www.ebi.ac.uk/efo/EFO_0003746>	"random exon sequencing"
<http://www.ebi.ac.uk/efo/EFO_0007693>	"Hi-C"
<http://www.ebi.ac.uk/efo/EFO_0009980>	"MC-Hi-C"
<http://www.ebi.ac.uk/efo/EFO_0008674>	"Capture-HiC"
<http://www.ebi.ac.uk/efo/EFO_0003752>	"DNase-hypersensitivity seq"
<http://www.ebi.ac.uk/efo/EFO_0008907>	"scDNase-seq"
<http://www.ebi.ac.uk/efo/EFO_0030006>	"immune sequencing"
<http://www.ebi.ac.uk/efo/EFO_0030015>	"single cell immune repertoire sequencing"
<http://www.ebi.ac.uk/efo/EFO_0010713>	"10x immune profiling"
<http://www.ebi.ac.uk/efo/EFO_0010715>	"10x Ig enrichment"
<http://www.ebi.ac.uk/efo/EFO_0010714>	"10x TCR enrichment"
<http://www.ebi.ac.uk/efo/EFO_0008966>	"TCR Chain Paring"
<http://www.ebi.ac.uk/efo/EFO_0030014>	"bulk immune repertoire sequencing"
<http://www.ebi.ac.uk/efo/EFO_0010017>	"HTGTS-Rep-seq"
<http://www.ebi.ac.uk/efo/EFO_0008887>	"Rep-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008842>	"Paired VH:VL Antibody Repertoire Analysis"
<http://www.ebi.ac.uk/efo/EFO_0008777>	"Ig-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008891>	"Ribo-seq"
<http://www.ebi.ac.uk/efo/EFO_0007832>	"single cell sequencing"
<http://www.ebi.ac.uk/efo/EFO_0008913>	"single-cell RNA sequencing"
<http://www.ebi.ac.uk/efo/EFO_0030060>	"mCT-seq"
<http://www.ebi.ac.uk/efo/EFO_0008441>	"full length single cell RNA sequencing"
<http://www.ebi.ac.uk/efo/EFO_0008440>	"tag based single cell RNA sequencing"
<http://purl.obolibrary.org/obo/OBI_0000724>	"Solexa sequencing assay"
<http://www.ebi.ac.uk/efo/EFO_0003744>	"whole genome shotgun sequencing"
<http://www.ebi.ac.uk/efo/EFO_0004428>	"FAIRE-seq"
<http://www.ebi.ac.uk/efo/EFO_0007691>	"Capture-C"
<http://www.ebi.ac.uk/efo/EFO_0002774>	"assay by mass spectrometry"
<http://www.ebi.ac.uk/efo/EFO_0030056>	"tandem mass spectrometry"
<http://www.ebi.ac.uk/efo/EFO_0002766>	"proteomic profiling by mass spectrometer"
<http://www.ebi.ac.uk/efo/EFO_0030054>	"label-free quantification"
<http://www.ebi.ac.uk/efo/EFO_0002696>	"assay by array"
<http://www.ebi.ac.uk/efo/EFO_0007690>	"4C"
<http://www.ebi.ac.uk/efo/EFO_0009995>	"UMI-4C"
<http://www.ebi.ac.uk/efo/EFO_0009983>	"MC-4C"
<http://www.ebi.ac.uk/efo/EFO_0001030>	"RNAi profiling by array"
<http://www.ebi.ac.uk/efo/EFO_0007687>	"microRNA profiling by RT-PCR"
<http://www.ebi.ac.uk/efo/EFO_0002767>	"genotyping by array"
<http://www.ebi.ac.uk/efo/EFO_0002759>	"methylation profiling by array"
<http://www.ebi.ac.uk/efo/EFO_0007689>	"3C"
<http://www.ebi.ac.uk/efo/EFO_0002765>	"proteomic profiling by array"
<http://www.ebi.ac.uk/efo/EFO_0000749>	"comparative genomic hybridization by array"
<http://www.ebi.ac.uk/efo/EFO_0002769>	"transcription profiling by tiling array"
<http://www.ebi.ac.uk/efo/EFO_0001031>	"tiling path by array"
<http://www.ebi.ac.uk/efo/EFO_0001033>	"translation profiling"
<http://www.ebi.ac.uk/efo/EFO_0002768>	"transcription profiling by array"
<http://www.ebi.ac.uk/efo/EFO_0000753>	"microRNA profiling by array"
<http://www.ebi.ac.uk/efo/EFO_0010033>	"RSMA"
<http://www.ebi.ac.uk/efo/EFO_0002772>	"assay by molecule"
<http://www.ebi.ac.uk/efo/EFO_0001458>	"protein assay"
<http://www.ebi.ac.uk/efo/EFO_0700005>	"Abseq"
<http://www.ebi.ac.uk/efo/EFO_0700000>	"spatial proteomics"
<http://www.ebi.ac.uk/efo/EFO_0700002>	"PhenoCycler"
<http://www.ebi.ac.uk/efo/EFO_0700001>	"PhenoCycler-Fusion"
<http://www.ebi.ac.uk/efo/EFO_0030011>	"10x feature barcode (cell surface protein profiling)"
<http://www.ebi.ac.uk/efo/EFO_0030008>	"CITE-seq (cell surface protein profiling)"
<http://www.ebi.ac.uk/efo/EFO_0010936>	"SDS-PAGE"
<http://www.ebi.ac.uk/efo/EFO_0010935>	"cytokine secretion assay"
<http://www.ebi.ac.uk/efo/EFO_0000747>	"antigen profiling"
<http://www.ebi.ac.uk/efo/EFO_0001457>	"RNA assay"
<http://www.ebi.ac.uk/efo/EFO_0008651>	"AGO-CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008662>	"BruChase-Seq"
<http://www.ebi.ac.uk/efo/EFO_0010025>	"PASP"
<http://www.ebi.ac.uk/efo/EFO_0008669>	"CAGEscan"
<http://www.ebi.ac.uk/efo/EFO_0008921>	"SHAPE-MaP"
<http://www.ebi.ac.uk/efo/EFO_0010007>	"scTrio-seq"
<http://www.ebi.ac.uk/efo/EFO_0008806>	"miCLIP-m5A"
<http://www.ebi.ac.uk/efo/EFO_0008847>	"PARIS"
<http://www.ebi.ac.uk/efo/EFO_0008963>	"TATL-seq"
<http://www.ebi.ac.uk/efo/EFO_0008954>	"STRT-seq-2i"
<http://www.ebi.ac.uk/efo/EFO_0008773>	"ICE"
<http://www.ebi.ac.uk/efo/EFO_0008919>	"Seq-Well"
<http://www.ebi.ac.uk/efo/EFO_0030019>	"Seq-Well S3"
<http://www.ebi.ac.uk/efo/EFO_0008898>	"RNET-seq"
<http://www.ebi.ac.uk/efo/EFO_0008846>	"PARE-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008882>	"RARseq"
<http://www.ebi.ac.uk/efo/EFO_0008714>	"DMS-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008690>	"CIRS-seq"
<http://www.ebi.ac.uk/efo/EFO_0008899>	"RPL"
<http://www.ebi.ac.uk/efo/EFO_0008780>	"inDrop"
<http://www.ebi.ac.uk/efo/EFO_0008640>	"3'T-fill"
<http://www.ebi.ac.uk/efo/EFO_0008783>	"IVT-SAPAS"
