?child	?label
<http://purl.obolibrary.org/obo/PO_0007067>	"LP.17 seventeen leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0007106>	"LP.03 three leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0007085>	"LP.14 fourteen leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0007123>	"LP.06 six leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0007072>	"LP.18 eighteen leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0007094>	"LP.01 one leaf visible stage"
<http://purl.obolibrary.org/obo/PO_0007115>	"LP.04 four leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0007082>	"LP.20 twenty or more leaves whorls visible stage"
<http://purl.obolibrary.org/obo/PO_0007113>	"rosette growth stage"
<http://purl.obolibrary.org/obo/PO_0007081>	"early rosette growth stage"
<http://purl.obolibrary.org/obo/PO_0007078>	"rosette growth complete stage"
<http://purl.obolibrary.org/obo/PO_0007076>	"late rosette growth stage"
<http://purl.obolibrary.org/obo/PO_0007068>	"mid rosette growth stage"
<http://purl.obolibrary.org/obo/PO_0007134>	"sporophyte vegetative stage"
<http://purl.obolibrary.org/obo/PO_0007089>	"stem elongation stage"
<http://purl.obolibrary.org/obo/PO_0007117>	"SE.02 two nodes or internodes visible stage"
<http://purl.obolibrary.org/obo/PO_0007109>	"SE.99 maximum stem length reached stage"
<http://purl.obolibrary.org/obo/PO_0007079>	"SE.00 stem elongation begins stage"
<http://purl.obolibrary.org/obo/PO_0007073>	"2 formation of axillary shoot stage"
<http://purl.obolibrary.org/obo/PO_0007080>	"2.03 main shoot and axillary shoots visible at three nodes stage"
<http://purl.obolibrary.org/obo/PO_0007047>	"3 inflorescence detectable stage"
<http://purl.obolibrary.org/obo/PO_0007131>	"seedling development stage"
<http://purl.obolibrary.org/obo/PO_0007049>	"cotyledon emergence stage"
<http://purl.obolibrary.org/obo/PO_0007043>	"hypocotyl emergence stage"
<http://purl.obolibrary.org/obo/PO_0007057>	"0 seed germination stage"
<http://purl.obolibrary.org/obo/PO_0025475>	"coleorhiza emergence stage"
<http://purl.obolibrary.org/obo/PO_0007045>	"coleoptile emergence stage"
